# english	ja-JP
%changeType% - The type of change (Changed, Created, Deleted)	%changeType% - 変更の種類（変更、作成、削除）
%counter% - Global usage counter for reward	%counter% - リワードのグローバル使用カウンター
%empty% - If the file is now empty	%empty% - ファイルが空になったかどうか
%fileName% - The file name with extension	%fileName% - 拡張子付きのファイル名
%fullPath% - The full path to the file	%fullPath% - ファイルのフルパス
%line#% - The specifc line of the file, 0 based index, 0 is the first line	%line#% - ファイルの特定の行（0ベース、0が最初の行）
%lineEscaped#% - The line escaped for use in a url query	%lineEscaped#% - URLクエリ用にエスケープされた行
%lines% - The number of lines in the file	%lines% - ファイルの行数
%randomUser0% - Random active user's display name	%randomUser0% - ランダムなアクティブユーザーの表示名
%randomUser1% - Random active user's display name	%randomUser1% - ランダムなアクティブユーザーの表示名
%randomUserName0% - Random active user's login name	%randomUserName0% - ランダムなアクティブユーザーのログイン名
%randomUserName1% - Random active user's login name	%randomUserName1% - ランダムなアクティブユーザーのログイン名
%rawInput% - UNSANITIZED input from redemption	%rawInput% - リデンプションからの未サニタイズ入力
%timedoutUser0% - Timed out user's display name	%timedoutUser0% - タイムアウトしたユーザーの表示名
%timedoutUserName0% - Timed out user's login name	%timedoutUserName0% - タイムアウトしたユーザーのログイン名
%user% - Display name of User who used reward	%user% - リワードを使用したユーザーの表示名
%userCounter% - Usage counter for user who used reward	%userCounter% - リワードを使用したユーザーの使用カウンター
%userName% - Login of user who used reward	%userName% - リワードを使用したユーザーのログイン名
Group	グループ
Group Layout	グループレイアウト
Group Name	グループ名
Groups	グループ
HTTP Server	HTTP サーバー
Handle all things variables	変数に関するすべてを処理
Has Permission	権限あり
Help with Elgato CameraHub	Elgato CameraHub のヘルプ
Help with Elgato WaveLink	Elgato WaveLink のヘルプ
Help with HTTP Server	HTTP サーバーのヘルプ
Help with Twitch	Twitch のヘルプ
Help with Voice Control	音声コントロールのヘルプ
Help with WebSocket Server	WebSocket サーバーのヘルプ
Hide Not Present	不在を隠す
Hide Splash Screen	スプラッシュ画面を隠す
Higher tiers gives you more storage space to hold more backups.	上位ティアほど多くのバックアップを保存できるストレージ容量が増えます。
Home	ホーム
How long it took for the action to run, this is in milliseconds	アクションの実行にかかった時間（ミリ秒）
How long viewers have to guess the outcome	視聴者が結果を予想できる時間
How long viewers have to vote in the poll	視聴者が投票できる時間
I Agree	同意する
I also can not forget giving a nod to the following people	以下の方々にも感謝の意を表さずにはいられません
I can not foget to thank the following who are on Streamer.bot's staff, providing support in the discord	Discord でサポートを提供している Streamer.bot スタッフの以下の方々に感謝せずにはいられません
Icon Path	アイコンパス
Ideas & Suggestions	アイデアと提案
If "Destination Variable" is left empty, the value will be stored to global_variableName, or user_username_variablename	"Destination Variable" を空にすると、値は global_variableName または user_username_variablename に保存されます
If AsJson is checked, the file will try to be loaded as a json object only a simple object will be loaded (for now), if it can not be parsed, the below will be available	AsJson がチェックされている場合、ファイルは JSON オブジェクトとして読み込まれようとします（現時点では単純なオブジェクトのみ）。パースできない場合は以下が利用可能です
If both options are set, then both criteria must be met for the action to occur. The action will only run if Y number have lines have been said, and if X seconds have passed.	両方のオプションが設定されている場合、アクションが発生するには両方の条件を満たす必要があります。Y 行発言され、かつ X 秒が経過した場合にのみアクションが実行されます。
If cancelling a redemption, this will refund the channel points back to the user that redeemed it.	リデンプションをキャンセルすると、チャンネルポイントがリデンプションしたユーザーに返金されます。
If there are no matches then it will fall back to the Default Case.	一致するものがなければ Default Case にフォールバックします。
If this is checked, only users in the listed groups will be used, otherwise they will be excluded	これをチェックすると、リストされたグループのユーザーのみが使用され、それ以外は除外されます
If timeout is left blank, it defaults to 30 seconds (or 30,000ms)	タイムアウトを空にすると、デフォルトは30秒（30,000ms）です
If you are already subscribed, thank you for your support. Make sure you are currently logged into your Streamer.bot account in the bottom-left corner of Streamer.bot. If you are logged in, then make sure you have also linked your	すでにサブスクリプションしている場合は、サポートに感謝します。Streamer.bot の左下隅で Streamer.bot アカウントにログインしていることを確認してください。ログインしている場合は、以下もリンクしていることを確認してください：
If you enjoy Streamer.bot, please consider supporting nate1280 on Patreon.	Streamer.bot を気に入ったら、Patreon で nate1280 をサポートすることを検討してください。
Ignore Aliases	エイリアスを無視
Ignore Bot Messages	Bot メッセージを無視
Ignore Case	大文字小文字を無視
Ignore Channel	チャンネルを無視
Ignore Data	データを無視
Ignore Extensions	拡張機能を無視
Ignore Internal Messages	内部メッセージを無視
Ignore NoteOff	NoteOff を無視
Import	インポート
Import String	インポート文字列
Import contains custom C# code. Ensure you trust the author and source of this import!	インポートにはカスタム C# コードが含まれています。このインポートの作者とソースを信頼できることを確認してください！
Important Information	重要な情報
Include Action's Arguments	アクションの引数を含める
Include All	すべて含める
Include Subdirectories	サブディレクトリを含める
Include auth.db	auth.db を含める
Input now supports variable parsing, be sure to surround it with % if you want the value of the variable. i.e. %user%, %userCounter%, %rawInput%, etc...	入力は変数パースに対応しています。変数の値が必要な場合は % で囲んでください。例：%user%、%userCounter%、%rawInput% など...
Instance Id	インスタンス ID
Instance Name:	インスタンス名：
Integrate further with Speaker.bot.	Speaker.bot とさらに統合。
Integrations	統合
Is UserId	ユーザー ID かどうか
Jewels Gifted	ギフトされたジュエル
Join the Streamer.bot community!	Streamer.bot コミュニティに参加！
Keep the updates coming!	アップデートを続けてください！
Keep track of active viewers in chat	チャット内のアクティブな視聴者を追跡
Keep track of users that create pyramids in your chat	チャットでピラミッドを作成するユーザーを追跡
Key Combination	キーの組み合わせ
Kick Message	Kick メッセージ
Kick is not Connected	Kick が接続されていません
Kick's own API implementation is still very fluid, and lacking, so not every feature maybe implemented	Kick の API 実装はまだ流動的で不足しているため、すべての機能が実装されているとは限りません
Kicks Gifted	ギフトされた Kick
Ko-fi	Ko-fi
Labs	ラボ
Last Active	最終アクティブ
Last Triggered	最終トリガー
Last Write	最終書き込み
Last backup: Never	最終バックアップ：なし
Last backup: {0:F}	最終バックアップ：{0:F}
Learn from Device	デバイスから学習
Leave color empty to use Application default color for comments	コメントにアプリケーションのデフォルト色を使用するには色を空のままに
Leaving Event Name empty is considered a catch-all and will trigger on any custom event name.	Event Name を空にすると catch-all となり、任意のカスタムイベント名でトリガーされます。
Leaving Event Name empty is considered a catch-all and will trigger on any remote event name.	Event Name を空にすると catch-all となり、任意のリモートイベント名でトリガーされます。
Leaving Toast Id empty is considered a catch-all and will trigger on any Toast Id.	Toast Id を空にすると catch-all となり、任意の Toast Id でトリガーされます。
Leaving name empty is considered a catch-all and will trigger on any global variable being created	名前を空にすると catch-all となり、任意のグローバル変数の作成でトリガーされます
Leaving name empty is considered a catch-all and will trigger on any global variable being deleted	名前を空にすると catch-all となり、任意のグローバル変数の削除でトリガーされます
Leaving name empty is considered a catch-all and will trigger on any global variable updating	名前を空にすると catch-all となり、任意のグローバル変数の更新でトリガーされます
Leaving name empty is considered a catch-all and will trigger on any process starting.	名前を空にすると catch-all となり、任意のプロセス開始でトリガーされます。
Leaving name empty is considered a catch-all and will trigger on any process stopping.	名前を空にすると catch-all となり、任意のプロセス停止でトリガーされます。
Leaving name or login empty is considered a catch-all and will trigger on any user global variable updating	名前またはログインを空にすると catch-all となり、任意のユーザーグローバル変数の更新でトリガーされます
Leaving soundboard name empty is considered a catch-all and will trigger on any soundboard changed event.	サウンドボード名を空にすると catch-all となり、任意のサウンドボード変更イベントでトリガーされます。
Leaving user name empty is considered a catch-all and will trigger on any first words event.	ユーザー名を空にすると catch-all となり、任意の最初の言葉イベントでトリガーされます。
Leaving voice name empty is considered a catch-all and will trigger on any voice loaded event.	音声名を空にすると catch-all となり、任意の音声読み込みイベントでトリガーされます。
Lens Name	レンズ名
Lens Name and/or Duration can be a fixed value or a parsed value using variables and/or inline functions.	Lens Name と/または Duration は固定値か、変数やインライン関数を使用したパース値にできます。
Light Mode	ライトモード
Line Number	行番号
Line Spacing	行間
Listening Status	リスン状態
Live (boolean)	配信中（ブール値）
Live Update	ライブアップデート
Loading Editor Components...	エディターコンポーネントを読み込み中...
Loading...	読み込み中...
Location	場所
Log Folder	ログフォルダー
Log In (Default)	ログイン（デフォルト）
Log Level	ログレベル
Log Speech to Text Dictation	音声認識のディクテーションをログに記録
Login	ログイン
Login to your Kick account, and adjust settings.	Kick アカウントにログインして設定を調整。
Login to your Streamer.bot Account to see beta/alpha channels.	ベータ/アルファチャンネルを見るには Streamer.bot アカウントにログイン。
Login to your Streamer.bot account in the bottom-left corner	左下隅の Streamer.bot アカウントにログイン
Login to your Twitch account, manage Chanel Rewards, Poll and Predictions, and settings.	Twitch アカウントにログインし、チャンネルリワード、投票、予測、設定を管理。
Login to your YouTube account, see your broadcasts, and alter settings.	YouTube アカウントにログインし、配信を見て設定を変更。
Logout	ログアウト
LumiaStream is Not Connected!	LumiaStream が接続されていません！
MIDI	MIDI
MIDI Device is NOT connected	MIDI デバイスは接続されていません
MIDI Device is already in use	MIDI デバイスはすでに使用中です
MIDI Device is connected	MIDI デバイスは接続されています
MIDI Device is not found	MIDI デバイスが見つかりません
MIDI In	MIDI 入力
MIDI Out	MIDI 出力
Making Changes to this list will not invalidate any currently compiled Execute C# Code sub-actions	このリストへの変更は、現在コンパイル済みの Execute C# Code サブアクションを無効にしません
Manage Polls on your Twitch broadcaster account	Twitch ブロードキャスターアカウントで投票を管理
Manage Predictions on your Twitch broadcaster account	Twitch ブロードキャスターアカウントで予測を管理
Manage different aspects of Streamer.bot's UI	Streamer.bot の UI のさまざまな側面を管理
Manage network services	ネットワークサービスを管理
Manage your Kick channel point rewards	Kick チャンネルポイントリワードを管理
Manage your Twitch channel point rewards	Twitch チャンネルポイントリワードを管理
Manage your Twitch custom power-ups (beta)	Twitch カスタムパワーアップ（ベータ）を管理
Manage your chat commands	チャットコマンドを管理
Manually refresh audio input devices	音声入力デバイスを手動で更新
Manually refresh audio output devices	音声出力デバイスを手動で更新
Manually reset the cache	キャッシュを手動でリセット
Mask Variable Containing	以下の変数をマスク：
May you rest in peace; you will be missed. 1954-2021	安らかにお眠りください。あなたを恋しく思います。1954-2021
Meld Studio Information	Meld Studio 情報
Menu	メニュー
Message Id	メッセージ ID
Milestone Range (this is for the number of subs gifted over all time)	マイルストーン範囲（全期間でギフトされたサブ数用）
Minimize to Tray	トレイに最小化
Minimize to Tray on Close	閉じる時にトレイに最小化
Minimum Width	最小幅
Mix With Scene Lighting Color	シーン照明色と混ぜる
Moderator Send Live Enabled (boolean)	モデレーター送信ライブ有効（ブール値）
Modify settings related to Voice Control	音声コントロールに関連する設定を変更
Modify your MIDI settings here.	ここで MIDI 設定を変更。
Monaco Settings	Monaco 設定
Months Gifted	ギフトされた月数
Move All To	すべて移動先：
NOT Recording!	録画中ではありません！
NOT Streaming!	配信中ではありません！
Name	名前
Name can be a fixed value or a parsed value using variables and/or inline functions.	名前は固定値か、変数やインライン関数を使用したパース値にできます。
Name the prediction	予測に名前を付ける
Navigation Panel	ナビゲーションパネル
New Poll	新しい投票
New Prediction	新しい予測
No AR Lenses Found!	AR レンズが見つかりません！
No Actions Found!	アクションが見つかりません！
No Audio Devices Found	音声デバイスが見つかりません
No Command Groups Found!	コマンドグループが見つかりません！
No Commands Found!	コマンドが見つかりません！
No Crosshair Images Found!	クロスヘア画像が見つかりません！
No Devices Available to Learn From!	学習できるデバイスがありません！
No Editable Rewards Found!	編集可能なリワードが見つかりません！
No Execute C# Code Sub-Actions were found!	Execute C# Code サブアクションが見つかりません！
No Execute C# Sub-Aactions Found!	Execute C# サブアクションが見つかりません！
No Expressions Found!	式が見つかりません！
No File Tails Found	ファイルテールが見つかりません
No Fonts Found!	フォントが見つかりません！
No Groups Found!	グループが見つかりません！
No Hotkeys Found!	ホットキーが見つかりません！
No Inputs Found!	入力が見つかりません！
No Items!	アイテムがありません！
No Kick Reward Groups Found!	Kick リワードグループが見つかりません！
No Kick Rewards Found!	Kick リワードが見つかりません！
No Outfits Found!	衣装が見つかりません！
No Output Devices Available!	出力デバイスがありません！
No Profiles Found!	プロファイルが見つかりません！
No Rewards Found	リワードが見つかりません
No Scripts Found!	スクリプトが見つかりません！
No Timers Found!	タイマーが見つかりません！
No Twitch Reward Groups Found!	Twitch リワードグループが見つかりません！
No Twitch Rewards Found!	Twitch リワードが見つかりません！
No Video Backgrounds Found!	動画背景が見つかりません！
No Voice Control Commands Found!	音声コントロールコマンドが見つかりません！
No command groups found!	コマンドグループが見つかりません！
No commands found!	コマンドが見つかりません！
Non-Persisted Globals	非永続グローバル変数
Non-Persisted User Globals	非永続ユーザーグローバル変数
Not Authenticated	認証されていません
Not Configured	設定されていません
Not Connected	接続されていません
Not Connected!	接続されていません！
Not Ignored	無視されていません
Not all API endpoints/EventSub events have been implemented by Twitch yet. Some features may currently be missing, once they are added on Twitch's side, they will be updated for Streamer.bot's usage.	すべての API エンドポイント/EventSub イベントがまだ Twitch に実装されているわけではありません。一部の機能が現在欠けている可能性があります。Twitch 側で追加されると、Streamer.bot の使用に更新されます。
OBS Color	OBS カラー
OBS Information	OBS 情報
OBS Studio use ABGR format for its colors	OBS Studio は色に ABGR 形式を使用します
Only Those Listed	リストされたもののみ
Only methods that return bool, and have no parameter are usable.	bool を返し、パラメータのないメソッドのみ使用できます。
Open Log Folder...	ログフォルダーを開く...
Open Trigger Viewer	トリガービューアーを開く
Optional values that are left blank, will not be changed.	空のままにした任意の値は変更されません。
Options	オプション
Options (Minimum of 2, maximum of 4)	オプション（最小2、最大4）
Other Instances	他のインスタンス
Outcome Title	結果タイトル
Outcomes (Minimum of 2, maximum of 10)	結果（最小2、最大10）
Outfit Name	衣装名
Outfit Name can be a fixed value or a parsed value using variables and/or inline functions.	衣装名は固定値か、変数やインライン関数を使用したパース値にできます。
Output File	出力ファイル
Output Text	出力テキスト
Output Variable	出力変数
Output Variable will be the name of the variable that your result goes into, default is inputResult	出力変数は結果が格納される変数の名前で、デフォルトは inputResult です
Overlay URL	オーバーレイ URL
Override Global	グローバルを上書き
Overwrite Existing Variable(s)	既存の変数を上書き
Overwrite Variables	変数を上書き
Parse Results as JSON	結果を JSON としてパース
Parse Variables	変数をパース
Partially Connected	部分的に接続
Pass through Bad Word Filter	不適切な言葉フィルターを通過
Patreon	Patreon
Patreon Supporters	Patreon サポーター
Pause All Queues	すべてのキューを一時停止
Payload Data	ペイロードデータ
Pending Action Cache	保留中アクションキャッシュ
Pending Actions	保留中のアクション
Pending Count	保留数
Persist Counter	カウンターを永続化
Persist User Counter	ユーザーカウンターを永続化
Persisted Globals	永続グローバル変数
Persisted User Globals	永続ユーザーグローバル変数
Pick a Random Color	ランダムな色を選択
Pick a color	色を選択
Pick either Light Mode or Dark Mode for Streamer.bot	Streamer.bot のライトモードまたはダークモードを選択
Pick your favorite streamming application, get it connected, and start creating!	お気に入りの配信アプリを選んで接続し、クリエイティブを始めましょう！
Pick your platform of choice to interact with your viewers.	視聴者と交流するプラットフォームを選択。
Platform	プラットフォーム
Platforms	プラットフォーム
Position X (double, optional)	位置 X（double、任意）
Position Y (double, optional)	位置 Y（double、任意）
Power-up	パワーアップ
Precompile on Application Start	アプリ起動時にプリコンパイル
Prediction Window (seconds) default is 60s	予測ウィンドウ（秒）デフォルト60秒
Present Only	現在のみ
Present Viewers	現在の視聴者
Priority	優先度
Privacy Policy	プライバシーポリシー
Process Watcher	プロセスウォッチャー
Provide various URL endpoints for interacting with Streamer.bot	Streamer.bot と対話するためのさまざまな URL エンドポイントを提供
Pyramids Made	作成されたピラミッド
Quality:	品質：
Queue Signal	キューシグナル
Queued At	キュー追加時刻
Queues ({0})	キュー（{0}）
Queues keep the Actions flowing, or stopped when needed	キューはアクションを流し続けるか、必要に応じて停止します
Quote ID	引用 ID
Quote ID can be a variable which must parse to a number, or a number.	引用 ID は数値にパースされる変数か、数値にできます。
Raids	レイド
Raised/Goal	達成額/目標
Random Color	ランダムな色
Raw Message	生メッセージ
Re-Open on Close	閉じる時に再度開く
Re-index	再インデックス
React to events that happen in CrowdControl.	CrowdControl で発生するイベントに反応。
React to events, and trigger changes.	イベントに反応して変更をトリガー。
React to viewers purchasing and using cards	視聴者がカードを購入・使用することに反応
React to your heart rate!	心拍数に反応！
Real-time AR effects that work inside OBS, Streamlabs, and Zoom.	OBS、Streamlabs、Zoom 内で動作するリアルタイム AR エフェクト。
Receive access to additional supporter benefits, including Custom Webhooks and Cloud Backups!	カスタム Webhook やクラウドバックアップなど、追加のサポーター特典へのアクセスを受け取ります！
Receive donation events.	寄付イベントを受け取ります。
Receive events when applications on your computer start and/or stop!	コンピューター上のアプリケーションの開始/停止イベントを受け取ります！
Receive events when donations are received to your campaign!	キャンペーンに寄付が届いたときにイベントを受け取ります！
Receive events when someone sends you a treat!	誰かがあなたにトリートを送ったときにイベントを受け取ります！
Receive events when tips are received.	チップを受け取ったときにイベントを受け取ります。
Reconnect on Disconnect	切断時に再接続
Recording!	録画中！
Redemption Skips Queue	リデンプションはキューをスキップ
Refresh Polls from Twitch	Twitch から投票を更新
Refresh Predictions from Twitch	Twitch から予測を更新
Refresh from Kick	Kick から更新
Refresh from Twitch	Twitch から更新
Regenerate Browser Sources (boolean)	ブラウザソースを再生成（ブール値）
Related Support	関連サポート
Relative to Model (boolean, required)	モデル相対（ブール値、必須）
Remote Key	リモートキー
Remove All	すべて削除
Remove all actions from export	エクスポートからすべてのアクションを削除
Remove all commands from export	エクスポートからすべてのコマンドを削除
Remove all websocket clients from export	エクスポートからすべての WebSocket クライアントを削除
Remove all websocket servers from export	エクスポートからすべての WebSocket サーバーを削除
Reply Id	返信 ID
Requests received by the HTTP server	HTTP サーバーが受け取ったリクエスト
Reset Delete Confirmations	削除確認をリセット
Reset Integrations	統合をリセット
Reset Navigation Items	ナビゲーション項目をリセット
Reset Sub Counter	サブカウンターをリセット
Reset sub-counter and rollover counters, this can not be undone	サブカウンターとロールオーバーカウンターをリセット。元に戻せません
Reset the Instance Id for this instance of Streamer.bot	この Streamer.bot インスタンスのインスタンス ID をリセット
Reset the information back to what the broadcast has	情報を配信内容にリセット
Response (Minimum of 2, maximum of 5)	応答（最小2、最大5）
Resume All Queues	すべてのキューを再開
Retrying to connect	接続を再試行中
Revert to Original Color	元の色に戻す
Revert to original values	元の値に戻す
Reward Name	リワード名
Right click to add an argument	右クリックで引数を追加
Right-click to add an Action	右クリックでアクションを追加
Role	役割
Rollover Value	ロールオーバー値
Rotation (double, optional)	回転（double、任意）
Run Action Immediately	アクションをすぐに実行
Run on UI Thread	UI スレッドで実行
Save	保存
Save All to CSV	すべて CSV に保存
Save Key	キーを保存
Save Result to Variable	結果を変数に保存
Save and Compile	保存してコンパイル
Save the information for the broadcast	配信の情報を保存
Scene Name	シーン名
Search Kick Categories	Kick カテゴリを検索
Search above or right-click to add a Sub-Action	上で検索するか、右クリックでサブアクションを追加
Search above or right-click to add a Trigger	上で検索するか、右クリックでトリガーを追加
Search for User	ユーザーを検索
Search to add trigger...	トリガーを追加するために検索...
See Streamer.bot work, view and inspect variables of actions that are currently being run	Streamer.bot の動作を確認し、実行中のアクションの変数を表示・検査
See actions that have finished, and learn more about if they succeeded, what variables were available, etc	完了したアクションを確認し、成功したかどうか、どのような変数が利用可能だったかなどを確認
See the quotes that have been added, as well as add custom ones, or edit/delete existing.	追加された引用を確認したり、カスタム引用を追加したり、既存のものを編集/削除できます。
Select Action	アクションを選択
Select a Meld Studio Connection	Meld Studio 接続を選択
Select a Streamlabs Desktop Connection	Streamlabs Desktop 接続を選択
Select a viewer from the list to view their information.	リストから視聴者を選択して情報を表示。
Select an OBS Connection	OBS 接続を選択
Select mtion Trigger	モーショントリガーを選択
Selected Camera is not EpocCam!	選択したカメラは EpocCam ではありません！
Selected Poll	選択した投票
Selected Prediction	選択した予測
Send NoteOff	NoteOff を送信
Send using bot account	Bot アカウントで送信
Server Status	サーバー状態
Servers/Clients	サーバー/クライアント
Service Status	サービス状態
Services	サービス
Session ID	セッション ID
Set wait time to 0 seconds to run without waiting	待機時間を0秒に設定すると待たずに実行
Settings	設定
Setup a tail on a file and react to changes in realtime.	ファイルにテールを設定し、変更にリアルタイムで反応。
Setup recurring timers.	繰り返しタイマーを設定。
Share and discuss ideas for new features or improvements to Streamer.bot	Streamer.bot の新機能や改善のアイデアを共有・議論
Shared Chat Participation	共有チャット参加
Show LastWrite Column	最終書き込み列を表示
Show or hide Commands page	コマンドページを表示/非表示
Show your Support	サポートを表示
Signal Name	シグナル名
Signal name	シグナル名
Size (double, optional)	サイズ（double、任意）
Skips Queue	キューをスキップ
Slot (number, required)	スロット（数値、必須）
Slot Count (number)	スロット数（数値）
Sound Name	サウンド名
Sound Name can be empty, in which case it will use "default", a variable, or a string you enter	サウンド名は空にできます。その場合は「default」、変数、または入力した文字列が使用されます
Sound file to play	再生するサウンドファイル
Soundboard Name	サウンドボード名
Source	ソース
Source Slot	ソーススロット
Speaker.bot Not Connected	Speaker.bot が接続されていません
Speaker.bot is Not Connected!	Speaker.bot が接続されていません！
Specific Category	特定のカテゴリ
Specific Game	特定のゲーム
Specify the 0 based index of the outcome to use as the winning outcome when resolving the current active prediction.  Variables are supported.	現在アクティブな予測を解決するときに、勝者として使用する結果の0ベースのインデックスを指定。変数に対応。
Specify the title of the outcome to use as the winning outcome when resolving the active prediction.  Variables are supported.	アクティブな予測を解決するときに、勝者として使用する結果のタイトルを指定。変数に対応。
Start Listening	リスンを開始
Start Server	サーバーを開始
Start a Prediction	予測を開始
Start a UDP server and react to incoming UDP packets	UDP サーバーを開始し、受信 UDP パケットに反応
Start, stop or alter built in Services.	組み込みサービスの開始、停止、変更。
Started At	開始時刻
Starting...	開始中...
Status	状態
Stop After	次の後に停止：
Stop All Clients	すべてのクライアントを停止
Stop Listening	リスンを停止
Stop Server	サーバーを停止
Stream Apps	配信アプリ
Stream Deck MCP Server	Stream Deck MCP サーバー
Stream Status	配信状態
Stream Update on Connect	接続時に Stream Update
Streamer.bot	Streamer.bot
Streamer.bot - Streamer.bot (v1.0.7)	Streamer.bot - 配信ボット（v1.0.7）
Streamer.bot Account	Streamer.bot アカウント
Streamer.bot Account Required.  Connect to the Streamer.bot website by clicking 'Login' in the bottom-left corner.	Streamer.bot アカウントが必要です。左下隅の「ログイン」をクリックして Streamer.bot ウェブサイトに接続してください。
Streamer.bot Cloud Backups	Streamer.bot クラウドバックアップ
Streamer.bot Settings	Streamer.bot 設定
Streamer.bot Version	Streamer.bot バージョン
Streamer.bot Website	Streamer.bot ウェブサイト
Streamer.bot account	Streamer.bot アカウント
Streamer.bot instances that have been seen by your account	アカウントで確認された Streamer.bot インスタンス
Streamer.bot {0} is available!	Streamer.bot {0} が利用可能です！
Streamer.bot's YouTube quota has been exceeded! The quota will reset at Midnight PST!	Streamer.bot の YouTube クォータを超えました！クォータは PST 深夜にリセットされます！
Streamfog is Not Connected!	Streamfog が接続されていません！
Streaming!	配信中！
Streamlabs Desktop Information	Streamlabs Desktop 情報
Sub Counter	サブカウンター
Sub Type	サブタイプ
Sub-Action Disabled Color	サブアクション無効時の色
Sub-Actions	サブアクション
Submission Preiod	提出期間
Subscribed	購読中
Suggestions	提案
Support	サポート
Support Streamer.bot on Patreon!	Patreon で Streamer.bot をサポート！
Support on Patreon	Patreon でサポート
Supporter	
Supporter Perks	サポーターパーク
Switch Case	スイッチケース
Tags (Maximum of 10)	タグ（最大10）
Tags are case insensitive.	タグは大文字小文字を区別しません。
Take control of your avatar, receive events or control features.	アバターをコントロールし、イベントを受け取るか、機能をコントロール。
Team Member	チームメンバー
Terms of Service	利用規約
Text to Speech	テキスト読み上げ
Text to Write	書き込むテキスト
Thank You	ありがとう
Thank you to the following supporters on Patreon:	Patreon の以下のサポーターに感謝します：
The Elgato CameraHub integration requires a minimum CameraHub version of 2.0.0.5721	Elgato CameraHub 統合には CameraHub バージョン 2.0.0.5721 以上が必要です
The Elgato WaveLink integration only supports WaveLink version 2.x, it will not work with 3.x	Elgato WaveLink 統合は WaveLink バージョン 2.x のみサポートし、3.x では動作しません
The UUID for this instance of Streamer.bot	この Streamer.bot インスタンスの UUID
The clip ID can contain either a specific id for a clip, or a %variable% that will be parsed.  This can also only get URLs for your own clips.	クリップ ID には特定のクリップ ID か、パースされる %variable% を指定できます。また、自分のクリップの URL のみ取得できます。
The confidence the speech engine must have in its recognition	音声エンジンが認識に対して持つ必要のある信頼度
The core of Streamer.bot	Streamer.bot の核心
The count can contain a specific number, or a %variables% that will be parsed	数には特定の数値か、パースされる %variables% を指定できます
The current value of the sub counter	サブカウンターの現在の値
The defacto standard for streaming	配信の事実上の標準
The default volume applied to the Play Sound sub-actions and C# methods	Play Sound サブアクションと C# メソッドに適用されるデフォルト音量
The endpoint Speaker.bot uses, default is /	Speaker.bot が使用するエンドポイント。デフォルトは /
The endpoint that the WebSocket server listens on	WebSocket サーバーがリスンするエンドポイント
The field above must contain the %variable% that will contain the quote to be added.	上のフィールドには、追加される引用が格納される %variable% を含める必要があります。
The file to write the sub-counter data to	サブカウンターデータを書き込むファイル
The folder to save backups to	バックアップを保存するフォルダー
The folder to write logs to	ログを書き込むフォルダー
The global cooldown for the command	コマンドのグローバルクールダウン
The heart of Streamer.bot, Actions are what defines what can happen and when	Streamer.bot の中心、アクションは何がいつ起こるかを定義します
The locale to use for speech recognition	音声認識に使用するロケール
The logging level being used, this is locked to verbose in non-stable versions	使用中のログレベル。非安定版では verbose に固定されています
The minimum number of emotes required before starting to track a pyramid	ピラミッドの追跡を開始するために必要な絵文字の最小数
The name of this Streamer.bot instance	この Streamer.bot インスタンスの名前
The output template to use when writing to the file specified above	上記で指定したファイルに書き込むときに使用する出力テンプレート
The password required for authentication	認証に必要なパスワード
The pinned message will be updated to last until stream ends	ピン留めメッセージが配信終了まで続くように更新されます
The slot can contain a number, typically between 1 and 6, or a %variable% that will be parsed.	スロットには通常1〜6の数値か、パースされる %variable% を指定できます。
The time interval can also be set to a random value within a range, this random value is updated everytime the action is run.	時間間隔は範囲内のランダム値にも設定でき、このランダム値はアクションが実行されるたびに更新されます。
The user cooldown for the command	コマンドのユーザークールダウン
The user id can contain either a specific user's id, or a %variable% that will be parsed	ユーザー ID には特定のユーザー ID か、パースされる %variable% を指定できます
The user login and group name can contain either a specific user's login, or a %variables% that will be parsed	ユーザーログインとグループ名には特定のユーザーのログインか、パースされる %variables% を指定できます
The user login can contain either a specific user's login, or a %variable% that will be parsed	ユーザーログインには特定のユーザーのログインか、パースされる %variable% を指定できます
The user login can contain either a specific user's login, or a %variable% that will be parsed.  Some examples of variables to use are: %broadcastUser%, %user%, %input0%	ユーザーログインには特定のユーザーのログインか、パースされる %variable% を指定できます。使用する変数の例：%broadcastUser%、%user%、%input0%
The user login can contain either a specific user's login, or a %variable% that will be parsed.  Some examples of variables to use are: %user%, %targetUser%, %input0%	ユーザーログインには特定のユーザーのログインか、パースされる %variable% を指定できます。使用する変数の例：%user%、%targetUser%、%input0%
The user login can contain either a specific user's login, or a %variables% that will be parsed	ユーザーログインには特定のユーザーのログインか、パースされる %variables% を指定できます
There is an update available!	アップデートが利用可能です！
There was an error trying to initialize WebView	WebView の初期化中にエラーが発生しました
This Instance	このインスタンス
This SubAction will allow you to set the value of an argument.  These are the %variables% you use in other SubActions	このサブアクションは、引数の値を設定できます。これらは他のサブアクションで使用する %variables% です
This SubAction will let you get a global variable and add it to the arguments that are passed along to other SubActions	このサブアクションは、グローバル変数を取得して、他のサブアクションに渡される引数に追加します
This SubAction will set the value of either an argument to the value, or a global variable from an argument, or to the value specified	このサブアクションは、引数の値を設定するか、引数からグローバル変数を設定するか、指定された値に設定します
This feature is very experimental, and I need feedback on it, for options, capabilities, etc.	この機能は非常に実験的で、オプションや機能などについてフィードバックが必要です。
