# english	es-ES
%changeType% - The type of change (Changed, Created, Deleted)	%changeType% - El tipo de cambio (Cambiado, Creado, Eliminado)
%counter% - Global usage counter for reward	%counter% - Contador global de uso de la recompensa
%empty% - If the file is now empty	%empty% - Si el archivo ahora está vacío
%fileName% - The file name with extension	%fileName% - El nombre del archivo con extensión
%fullPath% - The full path to the file	%fullPath% - La ruta completa del archivo
%line#% - The specifc line of the file, 0 based index, 0 is the first line	%line#% - La línea específica del archivo, índice basado en 0, 0 es la primera línea
%lineEscaped#% - The line escaped for use in a url query	%lineEscaped#% - La línea escapada para usar en una consulta de URL
%lines% - The number of lines in the file	%lines% - El número de líneas en el archivo
%randomUser0% - Random active user's display name	%randomUser0% - Nombre para mostrar de un usuario activo aleatorio
%randomUser1% - Random active user's display name	%randomUser1% - Nombre para mostrar de un usuario activo aleatorio
%randomUserName0% - Random active user's login name	%randomUserName0% - Nombre de inicio de sesión de un usuario activo aleatorio
%randomUserName1% - Random active user's login name	%randomUserName1% - Nombre de inicio de sesión de un usuario activo aleatorio
%rawInput% - UNSANITIZED input from redemption	%rawInput% - Entrada NO DEPURADA del canje
%timedoutUser0% - Timed out user's display name	%timedoutUser0% - Nombre para mostrar del usuario con timeout
%timedoutUserName0% - Timed out user's login name	%timedoutUserName0% - Nombre de inicio de sesión del usuario con timeout
%user% - Display name of User who used reward	%user% - Nombre para mostrar del usuario que usó la recompensa
%userCounter% - Usage counter for user who used reward	%userCounter% - Contador de uso del usuario que usó la recompensa
%userName% - Login of user who used reward	%userName% - Inicio de sesión del usuario que usó la recompensa
Event Feed	Feed de eventos
Event Name	Nombre del evento
EventSub Client	Cliente EventSub
Events Client	Cliente de eventos
Events to Record	Eventos a registrar
Exchange Source	Fuente de intercambio
Exclude all commands from import	Excluir todos los comandos de la importación
Exclude all from Import	Excluir todo de la importación
Exclude all timed actions from import	Excluir todas las acciones temporizadas de la importación
Exclude all websocket clients from import	Excluir todos los clientes WebSocket de la importación
Exclude all websocket servers from import	Excluir todos los servidores WebSocket de la importación
Exclude from Action Queue/History	Excluir de la cola/historial de acciones
Execute C# Code	Ejecutar código C#
Execute C# Code Editor	Editor de código C#
Expand All	Expandir todo
Explore the official documentation for Streamer.bot	Explora la documentación oficial de Streamer.bot
Export	Exportar
Export Version	Versión de exportación
Export to Clipboard	Exportar al portapapeles
Export to File	Exportar a archivo
Expression	Expresión
Fade Time	Tiempo de fundido
Fallback to Broadcaster	Replicar al emisor
File Path	Ruta del archivo
File Tail	Seguimiento de archivo
File Tails	Seguimientos de archivos
File to Check if Exists	Archivo a verificar si existe
File to Read From	Archivo del que leer
File to Write To	Archivo al que escribir
File/Folder Watcher	Vigilante de archivos/carpetas
Filter	Filtro
Filter Type	Tipo de filtro
Filter...	Filtrar...
Find Refs	Buscar referencias
Finish playing before continuing	Terminar de reproducir antes de continuar
First Words	Primeras palabras
Folder containing *.mp3 and *.wav	Carpeta que contiene *.mp3 y *.wav
Folder mappings for serving local files	Asignaciones de carpetas para servir archivos locales
Folder to Check if Exists	Carpeta a verificar si existe
Font Family	Familia de fuente
Font Size	Tamaño de fuente
For readability, consider using camelCasing or PascalCasing.	Para facilitar la lectura, considera usar camelCase o PascalCase.
Forget	Olvidar
Forget Account	Olvidar cuenta
Forget any saved credentials for Pulsoid	Olvidar cualquier credencial guardada de Pulsoid
Forget any saved credentials for TipeeeStream	Olvidar cualquier credencial guardada de TipeeeStream
Forget any saved credentials for VTubeStudio	Olvidar cualquier credencial guardada de VTubeStudio
Forget this account?	¿Olvidar esta cuenta?
Format Document	Formatear documento
Found {0} videos	Se encontraron {0} videos
GCD	GCD
Gain early access to new features and updates before they are released to the public.	Obtén acceso anticipado a nuevas funciones y actualizaciones antes de que se publiquen.
Game Only	Solo juego
General Settings	Configuración general
Generate a new Instance Id for this instance of Streamer.bot	Generar un nuevo ID de instancia para esta instancia de Streamer.bot
Gift Bombs	Bombas de regalo
Gift Sub Count Range	Rango de conteo de suscripciones de regalo
Global Cooldown	Enfriamiento global
Global Variables	Variables globales
Grant Type	Tipo de concesión
Group	Grupo
Group Layout	Diseño del grupo
Group Name	Nombre del grupo
Groups	Grupos
HTTP Server	Servidor HTTP
Handle all things variables	Manejar todo lo relacionado con variables
Has Permission	Tiene permiso
Help with Elgato CameraHub	Ayuda con Elgato CameraHub
Help with Elgato WaveLink	Ayuda con Elgato WaveLink
Help with HTTP Server	Ayuda con el servidor HTTP
Help with Twitch	Ayuda con Twitch
Help with Voice Control	Ayuda con el control por voz
Help with WebSocket Server	Ayuda con el servidor WebSocket
Hide Not Present	Ocultar no presentes
Hide Splash Screen	Ocultar pantalla de inicio
Higher tiers gives you more storage space to hold more backups.	Los niveles superiores te dan más espacio de almacenamiento para guardar más copias de seguridad.
Home	Inicio
How long it took for the action to run, this is in milliseconds	Cuánto tardó la acción en ejecutarse, en milisegundos
How long viewers have to guess the outcome	Cuánto tiempo tienen los espectadores para adivinar el resultado
How long viewers have to vote in the poll	Cuánto tiempo tienen los espectadores para votar en la encuesta
I Agree	Acepto
I also can not forget giving a nod to the following people	Tampoco puedo olvidar dar un saludo a las siguientes personas
I can not foget to thank the following who are on Streamer.bot's staff, providing support in the discord	No puedo olvidar agradecer a los siguientes, que forman parte del personal de Streamer.bot y brindan soporte en Discord
Icon Path	Ruta del icono
Ideas & Suggestions	Ideas y sugerencias
If "Destination Variable" is left empty, the value will be stored to global_variableName, or user_username_variablename	Si se deja vacía la "variable de destino", el valor se almacenará en global_nombreVariable, o usuario_nombreusuario_nombreVariable
If AsJson is checked, the file will try to be loaded as a json object only a simple object will be loaded (for now), if it can not be parsed, the below will be available	Si AsJson está marcado, el archivo intentará cargarse como un objeto JSON; solo se cargará un objeto simple (por ahora); si no se puede analizar, lo siguiente estará disponible
If both options are set, then both criteria must be met for the action to occur. The action will only run if Y number have lines have been said, and if X seconds have passed.	Si ambas opciones están configuradas, deben cumplirse ambos criterios para que ocurra la acción. La acción solo se ejecutará si se han dicho Y líneas y han pasado X segundos.
If cancelling a redemption, this will refund the channel points back to the user that redeemed it.	Si se cancela un canje, esto devolverá los puntos de canal al usuario que lo canjeó.
If there are no matches then it will fall back to the Default Case.	Si no hay coincidencias, recurrirá al caso predeterminado.
If this is checked, only users in the listed groups will be used, otherwise they will be excluded	Si esto está marcado, solo se usarán los usuarios de los grupos enumerados; de lo contrario, serán excluidos
If timeout is left blank, it defaults to 30 seconds (or 30,000ms)	Si el tiempo de espera se deja en blanco, el valor predeterminado es 30 segundos (o 30,000 ms)
If you are already subscribed, thank you for your support. Make sure you are currently logged into your Streamer.bot account in the bottom-left corner of Streamer.bot. If you are logged in, then make sure you have also linked your	Si ya estás suscrito, gracias por tu apoyo. Asegúrate de haber iniciado sesión en tu cuenta de Streamer.bot en la esquina inferior izquierda de Streamer.bot. Si has iniciado sesión, asegúrate también de haber vinculado tu
If you enjoy Streamer.bot, please consider supporting nate1280 on Patreon.	Si disfrutas de Streamer.bot, considera apoyar a nate1280 en Patreon.
Ignore Aliases	Ignorar alias
Ignore Bot Messages	Ignorar mensajes de bot
Ignore Case	Ignorar mayúsculas
Ignore Channel	Ignorar canal
Ignore Data	Ignorar datos
Ignore Extensions	Ignorar extensiones
Ignore Internal Messages	Ignorar mensajes internos
Ignore NoteOff	Ignorar NoteOff
Import	Importar
Import String	Cadena de importación
Import contains custom C# code. Ensure you trust the author and source of this import!	La importación contiene código C# personalizado. ¡Asegúrate de confiar en el autor y la fuente de esta importación!
Important Information	Información importante
Include Action's Arguments	Incluir argumentos de la acción
Include All	Incluir todo
Include Subdirectories	Incluir subdirectorios
Include auth.db	Incluir auth.db
Input now supports variable parsing, be sure to surround it with % if you want the value of the variable. i.e. %user%, %userCounter%, %rawInput%, etc...	La entrada ahora admite el análisis de variables; asegúrate de rodearla con % si quieres el valor de la variable. Por ejemplo, %user%, %userCounter%, %rawInput%, etc...
Instance Id	ID de instancia
Instance Name:	Nombre de la instancia:
Integrate further with Speaker.bot.	Integra más con Speaker.bot.
Integrations	Integraciones
Is UserId	Es ID de usuario
Jewels Gifted	Joyas regaladas
Join the Streamer.bot community!	¡Únete a la comunidad de Streamer.bot!
Keep the updates coming!	¡Sigue con las actualizaciones!
Keep track of active viewers in chat	Realiza un seguimiento de los espectadores activos en el chat
Keep track of users that create pyramids in your chat	Realiza un seguimiento de los usuarios que crean pirámides en tu chat
Key Combination	Combinación de teclas
Kick Message	Mensaje de Kick
Kick is not Connected	Kick no está conectado
Kick's own API implementation is still very fluid, and lacking, so not every feature maybe implemented	La implementación de la API propia de Kick todavía es muy fluida y carece de funciones, por lo que tal vez no todas las funciones estén implementadas
Kicks Gifted	Kicks regalados
Ko-fi	Ko-fi
Labs	Laboratorio
Last Active	Última actividad
Last Triggered	Última activación
Last Write	Última escritura
Last backup: Never	Última copia de seguridad: nunca
Last backup: {0:F}	Última copia de seguridad: {0:F}
Learn from Device	Aprender del dispositivo
Leave color empty to use Application default color for comments	Deja el color vacío para usar el color predeterminado de la aplicación para los comentarios
Leaving Event Name empty is considered a catch-all and will trigger on any custom event name.	Dejar el nombre del evento vacío se considera comodín y se activará con cualquier nombre de evento personalizado.
Leaving Event Name empty is considered a catch-all and will trigger on any remote event name.	Dejar el nombre del evento vacío se considera comodín y se activará con cualquier nombre de evento remoto.
Leaving Toast Id empty is considered a catch-all and will trigger on any Toast Id.	Dejar el ID de Toast vacío se considera comodín y se activará con cualquier ID de Toast.
Leaving name empty is considered a catch-all and will trigger on any global variable being created	Dejar el nombre vacío se considera comodín y se activará cuando se cree cualquier variable global
Leaving name empty is considered a catch-all and will trigger on any global variable being deleted	Dejar el nombre vacío se considera comodín y se activará cuando se elimine cualquier variable global
Leaving name empty is considered a catch-all and will trigger on any global variable updating	Dejar el nombre vacío se considera comodín y se activará cuando se actualice cualquier variable global
Leaving name empty is considered a catch-all and will trigger on any process starting.	Dejar el nombre vacío se considera comodín y se activará cuando se inicie cualquier proceso.
Leaving name empty is considered a catch-all and will trigger on any process stopping.	Dejar el nombre vacío se considera comodín y se activará cuando se detenga cualquier proceso.
Leaving name or login empty is considered a catch-all and will trigger on any user global variable updating	Dejar el nombre o inicio de sesión vacío se considera comodín y se activará cuando se actualice cualquier variable global de usuario
Leaving soundboard name empty is considered a catch-all and will trigger on any soundboard changed event.	Dejar el nombre de la mesa de sonido vacío se considera comodín y se activará con cualquier evento de cambio de mesa de sonido.
Leaving user name empty is considered a catch-all and will trigger on any first words event.	Dejar el nombre de usuario vacío se considera comodín y se activará con cualquier evento de primeras palabras.
Leaving voice name empty is considered a catch-all and will trigger on any voice loaded event.	Dejar el nombre de voz vacío se considera comodín y se activará con cualquier evento de voz cargada.
Lens Name	Nombre de la lente
Lens Name and/or Duration can be a fixed value or a parsed value using variables and/or inline functions.	El nombre de la lente y/o la duración pueden ser un valor fijo o un valor analizado mediante variables y/o funciones integradas.
Light Mode	Modo claro
Line Number	Número de línea
Line Spacing	Interlineado
Listening Status	Estado de escucha
Live (boolean)	En vivo (booleano)
Live Update	Actualización en vivo
Loading Editor Components...	Cargando componentes del editor...
Loading...	Cargando...
Location	Ubicación
Log Folder	Carpeta de registros
Log In (Default)	Iniciar sesión (predeterminado)
Log Level	Nivel de registro
Log Speech to Text Dictation	Registrar dictado de voz a texto
Login	Iniciar sesión
Login to your Kick account, and adjust settings.	Inicia sesión en tu cuenta de Kick y ajusta la configuración.
Login to your Streamer.bot Account to see beta/alpha channels.	Inicia sesión en tu cuenta de Streamer.bot para ver los canales beta/alfa.
Login to your Streamer.bot account in the bottom-left corner	Inicia sesión en tu cuenta de Streamer.bot en la esquina inferior izquierda
Login to your Twitch account, manage Chanel Rewards, Poll and Predictions, and settings.	Inicia sesión en tu cuenta de Twitch, administra recompensas de canal, encuestas y predicciones, y la configuración.
Login to your YouTube account, see your broadcasts, and alter settings.	Inicia sesión en tu cuenta de YouTube, mira tus transmisiones y cambia la configuración.
Logout	Cerrar sesión
LumiaStream is Not Connected!	¡LumiaStream no está conectado!
MIDI	MIDI
MIDI Device is NOT connected	El dispositivo MIDI NO está conectado
MIDI Device is already in use	El dispositivo MIDI ya está en uso
MIDI Device is connected	El dispositivo MIDI está conectado
MIDI Device is not found	No se encuentra el dispositivo MIDI
MIDI In	Entrada MIDI
MIDI Out	Salida MIDI
Making Changes to this list will not invalidate any currently compiled Execute C# Code sub-actions	Hacer cambios en esta lista no invalidará ninguna subacción Ejecutar código C# ya compilada
Manage Polls on your Twitch broadcaster account	Administrar encuestas en tu cuenta de emisor de Twitch
Manage Predictions on your Twitch broadcaster account	Administrar predicciones en tu cuenta de emisor de Twitch
Manage different aspects of Streamer.bot's UI	Administra diferentes aspectos de la interfaz de Streamer.bot
Manage network services	Administrar servicios de red
Manage your Kick channel point rewards	Administrar tus recompensas de puntos de canal de Kick
Manage your Twitch channel point rewards	Administrar tus recompensas de puntos de canal de Twitch
Manage your Twitch custom power-ups (beta)	Administrar tus potenciadores personalizados de Twitch (beta)
Manage your chat commands	Administrar tus comandos de chat
Manually refresh audio input devices	Actualizar manualmente los dispositivos de entrada de audio
Manually refresh audio output devices	Actualizar manualmente los dispositivos de salida de audio
Manually reset the cache	Restablecer manualmente la caché
Mask Variable Containing	Variable de máscara que contiene
May you rest in peace; you will be missed. 1954-2021	Que descanses en paz; te extrañaremos. 1954-2021
Meld Studio Information	Información de Meld Studio
Menu	Menú
Message Id	ID del mensaje
Milestone Range (this is for the number of subs gifted over all time)	Rango de hitos (esto es para el número de suscripciones regaladas de todos los tiempos)
Minimize to Tray	Minimizar a la bandeja
Minimize to Tray on Close	Minimizar a la bandeja al cerrar
Minimum Width	Ancho mínimo
Mix With Scene Lighting Color	Mezclar con el color de iluminación de la escena
Moderator Send Live Enabled (boolean)	Envío en vivo del moderador habilitado (booleano)
Modify settings related to Voice Control	Modificar la configuración relacionada con el control por voz
Modify your MIDI settings here.	Modifica aquí tu configuración de MIDI.
Monaco Settings	Configuración de Monaco
Months Gifted	Meses regalados
Move All To	Mover todo a
NOT Recording!	¡NO grabando!
NOT Streaming!	¡NO transmitiendo!
Name	Nombre
Name can be a fixed value or a parsed value using variables and/or inline functions.	El nombre puede ser un valor fijo o un valor analizado mediante variables y/o funciones integradas.
Name the prediction	Nombra la predicción
Navigation Panel	Panel de navegación
New Poll	Nueva encuesta
New Prediction	Nueva predicción
No AR Lenses Found!	¡No se encontraron lentes AR!
No Actions Found!	¡No se encontraron acciones!
No Audio Devices Found	No se encontraron dispositivos de audio
No Command Groups Found!	¡No se encontraron grupos de comandos!
No Commands Found!	¡No se encontraron comandos!
No Crosshair Images Found!	¡No se encontraron imágenes de mira!
No Devices Available to Learn From!	¡No hay dispositivos disponibles para aprender!
No Editable Rewards Found!	¡No se encontraron recompensas editables!
No Execute C# Code Sub-Actions were found!	¡No se encontraron subacciones Ejecutar código C#!
No Execute C# Sub-Aactions Found!	¡No se encontraron subacciones de C#!
No Expressions Found!	¡No se encontraron expresiones!
No File Tails Found	No se encontraron seguimientos de archivos
No Fonts Found!	¡No se encontraron fuentes!
No Groups Found!	¡No se encontraron grupos!
No Hotkeys Found!	¡No se encontraron teclas rápidas!
No Inputs Found!	¡No se encontraron entradas!
No Items!	¡Sin elementos!
No Kick Reward Groups Found!	¡No se encontraron grupos de recompensas de Kick!
No Kick Rewards Found!	¡No se encontraron recompensas de Kick!
No Outfits Found!	¡No se encontraron atuendos!
No Output Devices Available!	¡No hay dispositivos de salida disponibles!
No Profiles Found!	¡No se encontraron perfiles!
No Rewards Found	No se encontraron recompensas
No Scripts Found!	¡No se encontraron scripts!
No Timers Found!	¡No se encontraron temporizadores!
No Twitch Reward Groups Found!	¡No se encontraron grupos de recompensas de Twitch!
No Twitch Rewards Found!	¡No se encontraron recompensas de Twitch!
No Video Backgrounds Found!	¡No se encontraron fondos de video!
No Voice Control Commands Found!	¡No se encontraron comandos de control por voz!
No command groups found!	¡No se encontraron grupos de comandos!
No commands found!	¡No se encontraron comandos!
Non-Persisted Globals	Globales no persistentes
Non-Persisted User Globals	Globales de usuario no persistentes
Not Authenticated	No autenticado
Not Configured	No configurado
Not Connected	No conectado
Not Connected!	¡No conectado!
Not Ignored	No ignorado
Not all API endpoints/EventSub events have been implemented by Twitch yet. Some features may currently be missing, once they are added on Twitch's side, they will be updated for Streamer.bot's usage.	Twitch aún no ha implementado todos los puntos de conexión de API/eventos EventSub. Es posible que falten algunas funciones; una vez que se agreguen en el lado de Twitch, se actualizarán para el uso de Streamer.bot.
OBS Color	Color OBS
OBS Information	Información de OBS
OBS Studio use ABGR format for its colors	OBS Studio usa el formato ABGR para sus colores
Only Those Listed	Solo los enumerados
Only methods that return bool, and have no parameter are usable.	Solo se pueden usar métodos que devuelvan bool y no tengan parámetros.
Open Log Folder...	Abrir carpeta de registros...
Open Trigger Viewer	Abrir visor de disparadores
Optional values that are left blank, will not be changed.	Los valores opcionales que se dejen en blanco no se cambiarán.
Options	Opciones
Options (Minimum of 2, maximum of 4)	Opciones (mínimo 2, máximo 4)
Other Instances	Otras instancias
Outcome Title	Título del resultado
Outcomes (Minimum of 2, maximum of 10)	Resultados (mínimo 2, máximo 10)
Outfit Name	Nombre del atuendo
Outfit Name can be a fixed value or a parsed value using variables and/or inline functions.	El nombre del atuendo puede ser un valor fijo o un valor analizado mediante variables y/o funciones integradas.
Output File	Archivo de salida
Output Text	Texto de salida
Output Variable	Variable de salida
Output Variable will be the name of the variable that your result goes into, default is inputResult	La variable de salida será el nombre de la variable en la que va tu resultado; el valor predeterminado es inputResult
Overlay URL	URL de superposición
Override Global	Anular global
Overwrite Existing Variable(s)	Sobrescribir variables existentes
Overwrite Variables	Sobrescribir variables
Parse Results as JSON	Analizar resultados como JSON
Parse Variables	Analizar variables
Partially Connected	Parcialmente conectado
Pass through Bad Word Filter	Pasar por el filtro de palabras malsonantes
Patreon	Patreon
Patreon Supporters	Seguidores de Patreon
Pause All Queues	Pausar todas las colas
Payload Data	Datos de carga útil
Pending Action Cache	Caché de acciones pendientes
Pending Actions	Acciones pendientes
Pending Count	Conteo pendiente
Persist Counter	Contador persistente
Persist User Counter	Contador de usuario persistente
Persisted Globals	Globales persistentes
Persisted User Globals	Globales de usuario persistentes
Pick a Random Color	Elegir un color aleatorio
Pick a color	Elegir un color
Pick either Light Mode or Dark Mode for Streamer.bot	Elige el modo claro u oscuro para Streamer.bot
Pick your favorite streamming application, get it connected, and start creating!	Elige tu aplicación de transmisión favorita, conéctala y ¡empieza a crear!
Pick your platform of choice to interact with your viewers.	Elige tu plataforma preferida para interactuar con tus espectadores.
Platform	Plataforma
Platforms	Plataformas
Position X (double, optional)	Posición X (doble, opcional)
Position Y (double, optional)	Posición Y (doble, opcional)
Power-up	Potenciador
Precompile on Application Start	Precompilar al iniciar la aplicación
Prediction Window (seconds) default is 60s	Ventana de predicción (segundos), el valor predeterminado es 60 s
Present Only	Solo presentes
Present Viewers	Espectadores presentes
Priority	Prioridad
Privacy Policy	Política de privacidad
Process Watcher	Vigilante de procesos
Provide various URL endpoints for interacting with Streamer.bot	Proporciona varios puntos de conexión URL para interactuar con Streamer.bot
Pyramids Made	Pirámides hechas
Quality:	Calidad:
Queue Signal	Señal de cola
Queued At	En cola en
Queues ({0})	Colas ({0})
Queues keep the Actions flowing, or stopped when needed	Las colas mantienen las acciones fluyendo o las detienen cuando es necesario
Quote ID	ID de cita
Quote ID can be a variable which must parse to a number, or a number.	El ID de cita puede ser una variable que debe analizarse a un número, o un número.
Raids	Raids
Raised/Goal	Recaudado/Objetivo
Random Color	Color aleatorio
Raw Message	Mensaje sin procesar
Re-Open on Close	Reabrir al cerrar
Re-index	Reindexar
React to events that happen in CrowdControl.	Reacciona a los eventos que ocurren en CrowdControl.
React to events, and trigger changes.	Reacciona a los eventos y dispara cambios.
React to viewers purchasing and using cards	Reacciona a los espectadores que compran y usan tarjetas
React to your heart rate!	¡Reacciona a tu ritmo cardíaco!
Real-time AR effects that work inside OBS, Streamlabs, and Zoom.	Efectos AR en tiempo real que funcionan dentro de OBS, Streamlabs y Zoom.
Receive access to additional supporter benefits, including Custom Webhooks and Cloud Backups!	Recibe acceso a beneficios adicionales para seguidores, incluidos webhooks personalizados y copias de seguridad en la nube.
Receive donation events.	Recibir eventos de donación.
Receive events when applications on your computer start and/or stop!	¡Recibe eventos cuando las aplicaciones de tu computadora se inician y/o detienen!
Receive events when donations are received to your campaign!	¡Recibe eventos cuando se reciben donaciones en tu campaña!
Receive events when someone sends you a treat!	¡Recibe eventos cuando alguien te envía un regalo!
Receive events when tips are received.	Recibe eventos cuando se reciben propinas.
Reconnect on Disconnect	Reconectar al desconectarse
Recording!	¡Grabando!
Redemption Skips Queue	El canje omite la cola
Refresh Polls from Twitch	Actualizar encuestas desde Twitch
Refresh Predictions from Twitch	Actualizar predicciones desde Twitch
Refresh from Kick	Actualizar desde Kick
Refresh from Twitch	Actualizar desde Twitch
Regenerate Browser Sources (boolean)	Regenerar fuentes de navegador (booleano)
Related Support	Soporte relacionado
Relative to Model (boolean, required)	Relativo al modelo (booleano, obligatorio)
Remote Key	Clave remota
Remove All	Eliminar todo
Remove all actions from export	Eliminar todas las acciones de la exportación
Remove all commands from export	Eliminar todos los comandos de la exportación
Remove all websocket clients from export	Eliminar todos los clientes WebSocket de la exportación
Remove all websocket servers from export	Eliminar todos los servidores WebSocket de la exportación
Reply Id	ID de respuesta
Requests received by the HTTP server	Solicitudes recibidas por el servidor HTTP
Reset Delete Confirmations	Restablecer confirmaciones de eliminación
Reset Integrations	Restablecer integraciones
Reset Navigation Items	Restablecer elementos de navegación
Reset Sub Counter	Restablecer contador de suscripciones
Reset sub-counter and rollover counters, this can not be undone	Restablecer el contador de suscripciones y los contadores de traspaso; esto no se puede deshacer
Reset the Instance Id for this instance of Streamer.bot	Restablecer el ID de instancia para esta instancia de Streamer.bot
Reset the information back to what the broadcast has	Restablecer la información a lo que tiene la transmisión
Response (Minimum of 2, maximum of 5)	Respuesta (mínimo 2, máximo 5)
Resume All Queues	Reanudar todas las colas
Retrying to connect	Reintentando conectar
Revert to Original Color	Volver al color original
Revert to original values	Volver a los valores originales
Reward Name	Nombre de la recompensa
Right click to add an argument	Haz clic derecho para agregar un argumento
Right-click to add an Action	Haz clic derecho para agregar una acción
Role	Rol
Rollover Value	Valor de traspaso
Rotation (double, optional)	Rotación (doble, opcional)
Run Action Immediately	Ejecutar acción inmediatamente
Run on UI Thread	Ejecutar en el hilo de la interfaz
Save	Guardar
Save All to CSV	Guardar todo como CSV
Save Key	Guardar tecla
Save Result to Variable	Guardar resultado en variable
Save and Compile	Guardar y compilar
Save the information for the broadcast	Guardar la información de la transmisión
Scene Name	Nombre de la escena
Search Kick Categories	Buscar categorías de Kick
Search above or right-click to add a Sub-Action	Busca arriba o haz clic derecho para agregar una subacción
Search above or right-click to add a Trigger	Busca arriba o haz clic derecho para agregar un disparador
Search for User	Buscar usuario
Search to add trigger...	Buscar para agregar disparador...
See Streamer.bot work, view and inspect variables of actions that are currently being run	Mira Streamer.bot en acción, ve e inspecciona las variables de las acciones que se están ejecutando
See actions that have finished, and learn more about if they succeeded, what variables were available, etc	Mira las acciones que han terminado y aprende más sobre si tuvieron éxito, qué variables estaban disponibles, etc.
See the quotes that have been added, as well as add custom ones, or edit/delete existing.	Mira las citas que se han agregado, así como agrega personalizadas o edita/elimina las existentes.
Select Action	Seleccionar acción
Select a Meld Studio Connection	Selecciona una conexión de Meld Studio
Select a Streamlabs Desktop Connection	Selecciona una conexión de Streamlabs Desktop
Select a viewer from the list to view their information.	Selecciona un espectador de la lista para ver su información.
Select an OBS Connection	Selecciona una conexión de OBS
Select mtion Trigger	Seleccionar disparador mtion
Selected Camera is not EpocCam!	¡La cámara seleccionada no es EpocCam!
Selected Poll	Encuesta seleccionada
Selected Prediction	Predicción seleccionada
Send NoteOff	Enviar NoteOff
Send using bot account	Enviar usando la cuenta de bot
Server Status	Estado del servidor
Servers/Clients	Servidores/clientes
Service Status	Estado del servicio
Services	Servicios
Session ID	ID de sesión
Set wait time to 0 seconds to run without waiting	Configura el tiempo de espera a 0 segundos para ejecutar sin esperar
Settings	Configuración
Setup a tail on a file and react to changes in realtime.	Configura un seguimiento en un archivo y reacciona a los cambios en tiempo real.
Setup recurring timers.	Configura temporizadores recurrentes.
Share and discuss ideas for new features or improvements to Streamer.bot	Comparte y discute ideas para nuevas funciones o mejoras de Streamer.bot
Shared Chat Participation	Participación en el chat compartido
Show LastWrite Column	Mostrar columna de última escritura
Show or hide Commands page	Mostrar u ocultar la página de comandos
Show your Support	Muestra tu apoyo
Signal Name	Nombre de la señal
Signal name	Nombre de la señal
Size (double, optional)	Tamaño (doble, opcional)
Skips Queue	Omite la cola
Slot (number, required)	Ranura (número, obligatorio)
Slot Count (number)	Conteo de ranuras (número)
Sound Name	Nombre del sonido
Sound Name can be empty, in which case it will use "default", a variable, or a string you enter	El nombre del sonido puede estar vacío, en cuyo caso usará "default", una variable o una cadena que ingreses
Sound file to play	Archivo de sonido a reproducir
Soundboard Name	Nombre de la mesa de sonido
Source	Fuente
Source Slot	Ranura de origen
Speaker.bot Not Connected	Speaker.bot no conectado
Speaker.bot is Not Connected!	¡Speaker.bot no está conectado!
Specific Category	Categoría específica
Specific Game	Juego específico
Specify the 0 based index of the outcome to use as the winning outcome when resolving the current active prediction.  Variables are supported.	Especifica el índice basado en 0 del resultado a usar como resultado ganador al resolver la predicción activa actual. Se admiten variables.
Specify the title of the outcome to use as the winning outcome when resolving the active prediction.  Variables are supported.	Especifica el título del resultado a usar como resultado ganador al resolver la predicción activa. Se admiten variables.
Start Listening	Iniciar escucha
Start Server	Iniciar servidor
Start a Prediction	Iniciar una predicción
Start a UDP server and react to incoming UDP packets	Inicia un servidor UDP y reacciona a los paquetes UDP entrantes
Start, stop or alter built in Services.	Inicia, detén o cambia los servicios integrados.
Started At	Iniciado en
Starting...	Iniciando...
Status	Estado
Stop After	Detener después de
Stop All Clients	Detener todos los clientes
Stop Listening	Detener escucha
Stop Server	Detener servidor
Stream Apps	Aplicaciones de transmisión
Stream Deck MCP Server	Servidor MCP de Stream Deck
Stream Status	Estado de la transmisión
Stream Update on Connect	Actualizar transmisión al conectar
Streamer.bot	Streamer.bot
Streamer.bot - Streamer.bot (v1.0.7)	Streamer.bot - Bot de transmisión (v1.0.7)
Streamer.bot Account	Cuenta de Streamer.bot
Streamer.bot Account Required.  Connect to the Streamer.bot website by clicking 'Login' in the bottom-left corner.	Se requiere la cuenta de Streamer.bot. Conéctate al sitio web de Streamer.bot haciendo clic en 'Iniciar sesión' en la esquina inferior izquierda.
Streamer.bot Cloud Backups	Copias de seguridad en la nube de Streamer.bot
Streamer.bot Settings	Configuración de Streamer.bot
Streamer.bot Version	Versión de Streamer.bot
Streamer.bot Website	Sitio web de Streamer.bot
Streamer.bot account	Cuenta de Streamer.bot
Streamer.bot instances that have been seen by your account	Instancias de Streamer.bot que ha visto tu cuenta
Streamer.bot {0} is available!	¡Streamer.bot {0} está disponible!
Streamer.bot's YouTube quota has been exceeded! The quota will reset at Midnight PST!	¡Se ha superado la cuota de YouTube de Streamer.bot! ¡La cuota se restablecerá a la medianoche PST!
Streamfog is Not Connected!	¡Streamfog no está conectado!
Streaming!	¡Transmitiendo!
Streamlabs Desktop Information	Información de Streamlabs Desktop
Sub Counter	Contador de suscripciones
Sub Type	Tipo de suscripción
Sub-Action Disabled Color	Color de subacción deshabilitada
Sub-Actions	Subacciones
Submission Preiod	Período de presentación
Subscribed	Suscrito
Suggestions	Sugerencias
Support	Soporte
Support Streamer.bot on Patreon!	¡Apoya a Streamer.bot en Patreon!
Support on Patreon	Apoyar en Patreon
Supporter	
Supporter Perks	Beneficios de seguidor
