# english	chinese
%changeType% - The type of change (Changed, Created, Deleted)	%changeType% - 变更的类型（Changed、Created、Deleted）
%counter% - Global usage counter for reward	%counter% - 奖励的全局使用计数器
%empty% - If the file is now empty	%empty% - 文件现在是否为空
%fileName% - The file name with extension	%fileName% - 带扩展名的文件名
%fullPath% - The full path to the file	%fullPath% - 文件的完整路径
%line#% - The specifc line of the file, 0 based index, 0 is the first line	%line#% - 文件的特定行，从 0 开始的索引，0 为第一行
%lineEscaped#% - The line escaped for use in a url query	%lineEscaped#% - 已转义用于 URL 查询的行
%lines% - The number of lines in the file	%lines% - 文件的行数
%randomUser0% - Random active user's display name	%randomUser0% - 随机活跃用户的显示名称
%randomUser1% - Random active user's display name	%randomUser1% - 随机活跃用户的显示名称
%randomUserName0% - Random active user's login name	%randomUserName0% - 随机活跃用户的登录名
%randomUserName1% - Random active user's login name	%randomUserName1% - 随机活跃用户的登录名
%rawInput% - UNSANITIZED input from redemption	%rawInput% - 来自兑换的未净化输入
%timedoutUser0% - Timed out user's display name	%timedoutUser0% - 被超时用户的显示名称
%timedoutUserName0% - Timed out user's login name	%timedoutUserName0% - 被超时用户的登录名
%user% - Display name of User who used reward	%user% - 使用奖励的用户的显示名称
%userCounter% - Usage counter for user who used reward	%userCounter% - 使用奖励的用户的计数器
%userName% - Login of user who used reward	%userName% - 使用奖励的用户的登录名
Import contains custom C# code. Ensure you trust the author and source of this import!	导入包含自定义 C# 代码。请确保你信任此导入的作者和来源！
Important Information	重要信息
Include Action's Arguments	包含动作的参数
Include All	包含全部
Include Subdirectories	包含子目录
Include auth.db	包含 auth.db
Input now supports variable parsing, be sure to surround it with % if you want the value of the variable. i.e. %user%, %userCounter%, %rawInput%, etc...	输入现在支持变量解析，如需使用变量的值，请务必用 % 将其包围。例如 %user%、%userCounter%、%rawInput% 等…
Instance Id	实例 ID
Instance Name:	实例名称：
Integrations	集成
Is UserId	是用户 ID
Jewels Gifted	赠送的宝石
Join the Streamer.bot community!	加入 Streamer.bot 社区！
Keep the updates coming!	持续更新！
Keep track of active viewers in chat	跟踪聊天中的活跃观众
Keep track of users that create pyramids in your chat	跟踪在你的聊天中创建金字塔的用户
Key Combination	按键组合
Kick Message	Kick 消息
Kick is not Connected	Kick 未连接
Kick's own API implementation is still very fluid, and lacking, so not every feature maybe implemented	Kick 自己的 API 实现仍在快速变化且有欠缺，因此并非每个功能都已实现
Kicks Gifted	赠送的 Kick
Ko-fi	Ko-fi
Last Active	最后活跃
Last Triggered	上次触发
Last Write	最后写入
Last backup: Never	上次备份：从未
Last backup: {0:F}	上次备份：{0:F}
Learn from Device	从设备学习
Leave color empty to use Application default color for comments	将颜色留空以使用“评论”的应用默认颜色
Leaving Event Name empty is considered a catch-all and will trigger on any custom event name.	事件名称留空视为通配，将匹配任何自定义事件名称触发。
Leaving Event Name empty is considered a catch-all and will trigger on any remote event name.	事件名称留空视为通配，将匹配任何远程事件名称触发。
Leaving Toast Id empty is considered a catch-all and will trigger on any Toast Id.	Toast ID 留空视为通配，将匹配任何 Toast ID 触发。
Leaving name empty is considered a catch-all and will trigger on any global variable being created	名称留空视为通配，将在任何全局变量被创建时触发
Leaving name empty is considered a catch-all and will trigger on any global variable being deleted	名称留空视为通配，将在任何全局变量被删除时触发
Leaving name empty is considered a catch-all and will trigger on any global variable updating	名称留空视为通配，将在任何全局变量更新时触发
Leaving name empty is considered a catch-all and will trigger on any process starting.	名称留空视为通配，将在任何进程启动时触发。
Leaving name empty is considered a catch-all and will trigger on any process stopping.	名称留空视为通配，将在任何进程停止时触发。
Leaving name or login empty is considered a catch-all and will trigger on any user global variable updating	名称或登录名留空视为通配，将在任何用户全局变量更新时触发
Leaving soundboard name empty is considered a catch-all and will trigger on any soundboard changed event.	音板名称留空视为通配，将在任何音板更改事件时触发。
Leaving user name empty is considered a catch-all and will trigger on any first words event.	用户名留空视为通配，将在任何“首个词”事件时触发。
Leaving voice name empty is considered a catch-all and will trigger on any voice loaded event.	语音名称留空视为通配，将在任何语音加载事件时触发。
Lens Name	镜头名称
Lens Name and/or Duration can be a fixed value or a parsed value using variables and/or inline functions.	镜头名称和/或时长可以是固定值，也可以是使用变量和/或内联函数解析的值。
Light Mode	浅色模式
Line Number	行号
Line Spacing	行距
Listening Status	监听状态
Live (boolean)	直播中（布尔值）
Live Update	实时更新
Loading Editor Components...	正在加载编辑器组件…
Loading...	正在加载…
Location	位置
Log Folder	日志文件夹
Log In (Default)	登录（默认）
Log Level	日志级别
Log Speech to Text Dictation	记录语音转文字听写
Login	登录
Login to your Kick account, and adjust settings.	登录你的 Kick 账户并调整设置。
Login to your Streamer.bot Account to see beta/alpha channels.	登录你的 Streamer.bot 账户以查看测试版/内测版频道。
Login to your Streamer.bot account in the bottom-left corner	在左下角登录你的 Streamer.bot 账户
Login to your Twitch account, manage Chanel Rewards, Poll and Predictions, and settings.	登录你的 Twitch 账户，管理频道奖励、投票、预测和设置。
Login to your YouTube account, see your broadcasts, and alter settings.	登录你的 YouTube 账户，查看你的直播并修改设置。
Logout	退出登录
LumiaStream is Not Connected!	LumiaStream 未连接！
MIDI	MIDI
MIDI Device is NOT connected	MIDI 设备未连接
MIDI Device is already in use	MIDI 设备已被占用
MIDI Device is connected	MIDI 设备已连接
MIDI Device is not found	未找到 MIDI 设备
MIDI In	MIDI 输入
MIDI Out	MIDI 输出
Making Changes to this list will not invalidate any currently compiled Execute C# Code sub-actions	更改此列表不会使任何当前已编译的“执行 C# 代码”子动作失效
Manage Polls on your Twitch broadcaster account	在你的 Twitch 主播账户上管理投票
Manage Predictions on your Twitch broadcaster account	在你的 Twitch 主播账户上管理预测
Manage different aspects of Streamer.bot's UI	管理 Streamer.bot 用户界面的不同方面
Manage network services	管理网络服务
Manage your Kick channel point rewards	管理你的 Kick 频道积分奖励
Manage your Twitch channel point rewards	管理你的 Twitch 频道积分奖励
Manage your Twitch custom power-ups (beta)	管理你的 Twitch 自定义增益（测试版）
Manage your chat commands	管理你的聊天命令
Manually refresh audio input devices	手动刷新音频输入设备
Manually refresh audio output devices	手动刷新音频输出设备
Manually reset the cache	手动重置缓存
Mask Variable Containing	包含屏蔽变量的文本
May you rest in peace; you will be missed. 1954-2021	愿你安息，我们会想念你。1954-2021
Meld Studio Information	Meld Studio 信息
Menu	菜单
Message Id	消息 ID
Milestone Range (this is for the number of subs gifted over all time)	里程碑范围（这是针对历史累计赠送的订阅数）
Minimize to Tray	最小化到托盘
Minimize to Tray on Close	关闭时最小化到托盘
Minimum Width	最小宽度
Mix With Scene Lighting Color	与场景灯光颜色混合
Moderator Send Live Enabled (boolean)	主持人发送直播已启用（布尔值）
Modify settings related to Voice Control	修改与语音控制相关的设置
Modify your MIDI settings here.	在此修改你的 MIDI 设置。
Monaco Settings	Monaco 设置
Months Gifted	赠送的月数
Move All To	全部移动到
NOT Recording!	未在录制！
NOT Streaming!	未在直播！
Name	名称
Name can be a fixed value or a parsed value using variables and/or inline functions.	名称可以是固定值，也可以是使用变量和/或内联函数解析的值。
Name the prediction	为预测命名
Navigation Panel	导航面板
New Poll	新建投票
New Prediction	新建预测
No AR Lenses Found!	未找到 AR 镜头！
No Actions Found!	未找到动作！
No Audio Devices Found	未找到音频设备
No Command Groups Found!	未找到命令分组！
No Commands Found!	未找到命令！
No Crosshair Images Found!	未找到准星图像！
No Devices Available to Learn From!	没有可用于学习的设备！
No Editable Rewards Found!	未找到可编辑的奖励！
No Execute C# Code Sub-Actions were found!	未找到任何“执行 C# 代码”子动作！
No Execute C# Sub-Aactions Found!	未找到 C# 子动作！
No Expressions Found!	未找到表达式！
No File Tails Found	未找到文件尾随
No Fonts Found!	未找到字体！
No Groups Found!	未找到分组！
No Hotkeys Found!	未找到热键！
No Inputs Found!	未找到输入！
No Items!	没有项目！
No Kick Reward Groups Found!	未找到 Kick 奖励分组！
No Kick Rewards Found!	未找到 Kick 奖励！
No Outfits Found!	未找到套装！
No Output Devices Available!	没有可用的输出设备！
No Profiles Found!	未找到配置文件！
No Rewards Found	未找到奖励
No Scripts Found!	未找到脚本！
No Timers Found!	未找到计时器！
No Twitch Reward Groups Found!	未找到 Twitch 奖励分组！
No Twitch Rewards Found!	未找到 Twitch 奖励！
No Video Backgrounds Found!	未找到视频背景！
No Voice Control Commands Found!	未找到语音控制命令！
No command groups found!	未找到命令分组！
No commands found!	未找到命令！
Non-Persisted Globals	非持久化全局变量
Non-Persisted User Globals	非持久化用户全局变量
Not Authenticated	未认证
Not Configured	未配置
Not Connected	未连接
Not Connected!	未连接！
Not Ignored	不忽略
Not all API endpoints/EventSub events have been implemented by Twitch yet. Some features may currently be missing, once they are added on Twitch's side, they will be updated for Streamer.bot's usage.	Twitch 尚未实现所有 API 端点/EventSub 事件。某些功能当前可能缺失，一旦 Twitch 侧添加，就会为 Streamer.bot 更新。
OBS Color	OBS 颜色
OBS Information	OBS 信息
OBS Studio use ABGR format for its colors	OBS Studio 的颜色使用 ABGR 格式
Only Those Listed	仅限所列
Only methods that return bool, and have no parameter are usable.	只有返回 bool 且无参数的方法才可用。
Open Log Folder...	打开日志文件夹…
Open Trigger Viewer	打开触发器查看器
Optional values that are left blank, will not be changed.	留空的可选值将不会被更改。
Options	选项
Options (Minimum of 2, maximum of 4)	选项（最少 2 个，最多 4 个）
Other Instances	其他实例
Outcome Title	结果标题
Outcomes (Minimum of 2, maximum of 10)	结果（最少 2 个，最多 10 个）
Outfit Name	套装名称
Outfit Name can be a fixed value or a parsed value using variables and/or inline functions.	套装名称可以是固定值，也可以是使用变量和/或内联函数解析的值。
Output File	输出文件
Output Text	输出文本
Output Variable	输出变量
Output Variable will be the name of the variable that your result goes into, default is inputResult	输出变量将是你的结果所存入的变量名称，默认为 inputResult
Overlay URL	叠加层 URL
Override Global	覆盖全局
Overwrite Existing Variable(s)	覆盖现有变量
Overwrite Variables	覆盖变量
Parse Results as JSON	将结果解析为 JSON
Parse Variables	解析变量
Partially Connected	部分连接
Pass through Bad Word Filter	通过不良词过滤器
Patreon	Patreon
Patreon Supporters	Patreon 支持者
Pause All Queues	暂停所有队列
Payload Data	负载数据
Pending Action Cache	待处理动作缓存
Pending Actions	待处理动作
Pending Count	待处理数量
Persist Counter	持久化计数器
Persist User Counter	持久化用户计数器
Persisted Globals	持久化全局变量
Persisted User Globals	持久化用户全局变量
Pick a Random Color	选择随机颜色
Pick a color	选择颜色
Pick either Light Mode or Dark Mode for Streamer.bot	为 Streamer.bot 选择浅色模式或深色模式
Pick your favorite streamming application, get it connected, and start creating!	选择你最喜欢的流媒体应用，连接它，然后开始创作！
Pick your platform of choice to interact with your viewers.	选择你偏好的平台来与你的观众互动。
Platforms	平台
Position X (double, optional)	X 位置（双精度，可选）
Position Y (double, optional)	Y 位置（双精度，可选）
Power-up	增益
Precompile on Application Start	应用启动时预编译
Prediction Window (seconds) default is 60s	预测窗口（秒），默认为 60 秒
Present Only	仅在场的
Present Viewers	在场的观众
Priority	优先级
Privacy Policy	隐私政策
Process Watcher	进程监视器
Provide various URL endpoints for interacting with Streamer.bot	提供用于与 Streamer.bot 交互的各种 URL 端点
Pyramids Made	完成的金字塔
Quality:	质量：
Queue Signal	队列信号
Queued At	排队于
Queues ({0})	队列（{0}）
Queues keep the Actions flowing, or stopped when needed	队列让动作保持流动，或在需要时停止
Quote ID	引用 ID
Quote ID can be a variable which must parse to a number, or a number.	引文 ID 可以是必须解析为数字的变量，也可以是一个数字。
Raised/Goal	已筹集/目标
Random Color	随机颜色
Raw Message	原始消息
Re-Open on Close	关闭后重新打开
Re-index	重新索引
Receive access to additional supporter benefits, including Custom Webhooks and Cloud Backups!	获得额外支持者福利，包括自定义 Webhook 和云备份！
Receive events when applications on your computer start and/or stop!	当电脑上的应用启动和/或停止时接收事件！
Reconnect on Disconnect	断开后重连
Recording!	录制中！
Redemption Skips Queue	兑换跳过队列
Refresh Polls from Twitch	从 Twitch 刷新投票
Refresh Predictions from Twitch	从 Twitch 刷新预测
Refresh from Kick	从 Kick 刷新
Refresh from Twitch	从 Twitch 刷新
Regenerate Browser Sources (boolean)	重新生成浏览器源（布尔值）
Related Support	相关支持
Relative to Model (boolean, required)	相对模型（布尔值，必填）
Remote Key	远程按键
Remove All	全部移除
Remove all actions from export	从导出中移除所有动作
Remove all commands from export	从导出中移除所有命令
Remove all websocket clients from export	从导出中移除所有 WebSocket 客户端
Remove all websocket servers from export	从导出中移除所有 WebSocket 服务器
Reply Id	回复 ID
Requests received by the HTTP server	HTTP 服务器收到的请求
Reset Delete Confirmations	重置删除确认
Reset Integrations	重置集成
Reset Navigation Items	重置导航项
Reset Sub Counter	重置订阅计数器
Reset sub-counter and rollover counters, this can not be undone	重置订阅计数器和结转计数器，此操作无法撤销
Reset the Instance Id for this instance of Streamer.bot	重置此 Streamer.bot 实例的实例 ID
Reset the information back to what the broadcast has	将信息重置回直播所具有的内容
Response (Minimum of 2, maximum of 5)	响应（最少 2 个，最多 5 个）
Resume All Queues	恢复所有队列
Retrying to connect	正在重试连接
Revert to Original Color	恢复为原始颜色
Revert to original values	恢复为原始值
Reward Name	奖励名称
Right click to add an argument	右键单击以添加参数
Right-click to add an Action	右键单击以添加动作
Rollover Value	结转值
Rotation (double, optional)	旋转（双精度，可选）
Run Action Immediately	立即运行动作
Run on UI Thread	在 UI 线程上运行
Save	保存
Save All to CSV	全部保存为 CSV
Save Key	保存按键
Save Result to Variable	将结果保存到变量
Save and Compile	保存并编译
Save the information for the broadcast	保存直播信息
Scene Name	场景名称
Search Kick Categories	搜索 Kick 类别
Search above or right-click to add a Sub-Action	在上方搜索或右键单击以添加子动作
Search above or right-click to add a Trigger	在上方搜索或右键单击以添加触发器
Search for User	搜索用户
Search to add trigger...	搜索以添加触发器…
See Streamer.bot work, view and inspect variables of actions that are currently being run	查看 Streamer.bot 的运行情况，查看和检查当前正在运行的动作的变量
See actions that have finished, and learn more about if they succeeded, what variables were available, etc	查看已完成的动作，并了解它们是否成功、有哪些可用变量等信息
See the quotes that have been added, as well as add custom ones, or edit/delete existing.	查看已添加的引文，也可以添加自定义引文，或编辑/删除现有的引文。
Select Action	选择动作
Select a Meld Studio Connection	选择 Meld Studio 连接
Select a Streamlabs Desktop Connection	选择 Streamlabs Desktop 连接
Select a viewer from the list to view their information.	从列表中选择一个观众以查看其信息。
Select an OBS Connection	选择 OBS 连接
Select mtion Trigger	选择 mtion 触发器
Selected Camera is not EpocCam!	所选摄像头不是 EpocCam！
Selected Poll	所选投票
Selected Prediction	所选预测
Send NoteOff	发送 NoteOff
Send using bot account	使用机器人账户发送
Server Status	服务器状态
Servers/Clients	服务器/客户端
Service Status	服务状态
Services	服务
Session ID	会话 ID
Set wait time to 0 seconds to run without waiting	将等待时间设为 0 秒即可不等待直接运行
Settings	设置
Setup a tail on a file and react to changes in realtime.	对文件设置尾随并实时响应变化。
Setup recurring timers.	设置循环计时器。
Share and discuss ideas for new features or improvements to Streamer.bot	分享和讨论 Streamer.bot 的新功能或改进想法
Shared Chat Participation	共享聊天参与
Show LastWrite Column	显示最后写入列
Show or hide Commands page	显示或隐藏命令页面
Show your Support	表达你的支持
Signal Name	信号名称
Signal name	信号名称
Size (double, optional)	大小（双精度，可选）
Skips Queue	跳过队列
Slot (number, required)	插槽（数字，必填）
Slot Count (number)	插槽数量（数字）
Sound Name	声音名称
Sound Name can be empty, in which case it will use "default", a variable, or a string you enter	声音名称可以为空，此时将使用“default”、一个变量或你输入的字符串
Sound file to play	要播放的声音文件
Soundboard Name	音板名称
Source	来源
Source Slot	来源插槽
Speaker.bot Not Connected	Speaker.bot 未连接
Speaker.bot is Not Connected!	Speaker.bot 未连接！
Specific Category	特定类别
Specific Game	特定游戏
Specify the 0 based index of the outcome to use as the winning outcome when resolving the current active prediction.  Variables are supported.	指定结果中从 0 开始的索引，作为解析当前激活预测时的中奖结果。支持变量。
Specify the title of the outcome to use as the winning outcome when resolving the active prediction.  Variables are supported.	指定结果标题，作为解析当前激活预测时的中奖结果。支持变量。
Start Listening	开始监听
Start Server	启动服务器
Start a Prediction	开始预测
Start a UDP server and react to incoming UDP packets	启动 UDP 服务器并响应传入的 UDP 数据包
Start, stop or alter built in Services.	启动、停止或修改内置服务。
Started At	开始于
Starting...	正在启动…
Status	状态
Stop After	之后停止
Stop All Clients	停止所有客户端
Stop Listening	停止监听
Stop Server	停止服务器
Stream Apps	流媒体应用
Stream Deck MCP Server	Stream Deck MCP 服务器
Stream Status	直播状态
Stream Update on Connect	连接时更新直播信息
Streamer.bot	Streamer.bot
Streamer.bot - Streamer.bot (v1.0.7)	Streamer.bot - 流媒体机器人 (v1.0.7)
Streamer.bot Account	Streamer.bot 账户
Streamer.bot Account Required.  Connect to the Streamer.bot website by clicking 'Login' in the bottom-left corner.	需要 Streamer.bot 账户。点击左下角的“登录”以连接到 Streamer.bot 网站。
Streamer.bot Cloud Backups	Streamer.bot 云备份
Streamer.bot Settings	Streamer.bot 设置
Streamer.bot Version	Streamer.bot 版本
Streamer.bot Website	Streamer.bot 网站
Streamer.bot account	Streamer.bot 账户
Streamer.bot instances that have been seen by your account	你的账户见过的 Streamer.bot 实例
Streamer.bot {0} is available!	Streamer.bot {0} 可用！
Streamer.bot's YouTube quota has been exceeded! The quota will reset at Midnight PST!	Streamer.bot 的 YouTube 配额已超出！配额将在太平洋时间午夜重置！
Streamfog is Not Connected!	Streamfog 未连接！
Streaming!	直播中！
Streamlabs Desktop Information	Streamlabs Desktop 信息
Sub Counter	订阅计数器
Sub Type	订阅类型
Sub-Action Disabled Color	子动作禁用颜色
Sub-Actions	子动作
Submission Preiod	提交期间
Suggestions	建议
Support	支持
Support Streamer.bot on Patreon!	在 Patreon 上支持 Streamer.bot！
Support on Patreon	在 Patreon 上支持
Supporter	
Supporter Perks	支持者福利
Switch Case	切换大小写
Tags (Maximum of 10)	标签（最多 10 个）
Tags are case insensitive.	标签不区分大小写。
Team Member	团队成员
Terms of Service	服务条款
Text to Speech	文字转语音
Text to Write	要写入的文本
Thank You	谢谢你
Thank you to the following supporters on Patreon:	感谢以下 Patreon 支持者：
The Elgato CameraHub integration requires a minimum CameraHub version of 2.0.0.5721	Elgato CameraHub 集成要求 CameraHub 最低版本为 2.0.0.5721
The Elgato WaveLink integration only supports WaveLink version 2.x, it will not work with 3.x	Elgato WaveLink 集成仅支持 WaveLink 2.x 版本，不适用于 3.x
The UUID for this instance of Streamer.bot	此 Streamer.bot 实例的 UUID
The clip ID can contain either a specific id for a clip, or a %variable% that will be parsed.  This can also only get URLs for your own clips.	剪辑 ID 可以是剪辑的具体 ID，也可以是被解析的 %variable%。此功能也只能获取你自己剪辑的 URL。
The confidence the speech engine must have in its recognition	语音引擎对其识别结果必须达到的置信度
The core of Streamer.bot	Streamer.bot 的核心
The count can contain a specific number, or a %variables% that will be parsed	数量可以是一个具体的数字，也可以是被解析的 %variables%
The current value of the sub counter	订阅计数器的当前值
The defacto standard for streaming	直播的事实标准
The default volume applied to the Play Sound sub-actions and C# methods	应用于“播放声音”子动作和 C# 方法的默认音量
The endpoint Speaker.bot uses, default is /	Speaker.bot 使用的端点，默认为 /
The endpoint that the WebSocket server listens on	WebSocket 服务器监听的端点
The field above must contain the %variable% that will contain the quote to be added.	上面的字段必须包含将保存要添加引文的 %variable%。
The file to write the sub-counter data to	写入订阅计数器数据的文件
The folder to save backups to	保存备份的文件夹
The folder to write logs to	写入日志的文件夹
The global cooldown for the command	命令的全局冷却
The heart of Streamer.bot, Actions are what defines what can happen and when	Streamer.bot 的核心，动作定义了可以发生什么以及何时发生
The locale to use for speech recognition	语音识别使用的区域设置
The logging level being used, this is locked to verbose in non-stable versions	正在使用的日志级别，非稳定版本中锁定为 verbose
The minimum number of emotes required before starting to track a pyramid	开始跟踪金字塔所需的最少表情数量
The name of this Streamer.bot instance	此 Streamer.bot 实例的名称
The output template to use when writing to the file specified above	写入上方指定文件时使用的输出模板
The password required for authentication	认证所需的密码
The pinned message will be updated to last until stream ends	置顶消息将被更新为一直保留到直播结束
The slot can contain a number, typically between 1 and 6, or a %variable% that will be parsed.	插槽可以是数字（通常为 1 到 6 之间），也可以是被解析的 %variable%。
The time interval can also be set to a random value within a range, this random value is updated everytime the action is run.	时间间隔也可以设置为范围内的随机值，该随机值每次动作运行时都会更新。
The user cooldown for the command	命令的用户冷却
The user id can contain either a specific user's id, or a %variable% that will be parsed	用户 ID 可以是具体用户的 ID，也可以是被解析的 %variable%
The user login and group name can contain either a specific user's login, or a %variables% that will be parsed	用户登录名和分组名可以是具体用户的登录名，也可以是被解析的 %variables%
The user login can contain either a specific user's login, or a %variable% that will be parsed	用户登录名可以是具体用户的登录名，也可以是被解析的 %variable%
The user login can contain either a specific user's login, or a %variable% that will be parsed.  Some examples of variables to use are: %broadcastUser%, %user%, %input0%	用户登录名可以是具体用户的登录名，也可以是被解析的 %variable%。可用的变量示例：%broadcastUser%、%user%、%input0%
The user login can contain either a specific user's login, or a %variable% that will be parsed.  Some examples of variables to use are: %user%, %targetUser%, %input0%	用户登录名可以是具体用户的登录名，也可以是被解析的 %variable%。可用的变量示例：%user%、%targetUser%、%input0%
The user login can contain either a specific user's login, or a %variables% that will be parsed	用户登录名可以是具体用户的登录名，也可以是被解析的 %variables%
There is an update available!	有可用更新！
There was an error trying to initialize WebView	尝试初始化 WebView 时出错
This Instance	此实例
This SubAction will allow you to set the value of an argument.  These are the %variables% you use in other SubActions	此子动作允许你设置参数的值。这些是在其他子动作中使用的 %variables%
This SubAction will let you get a global variable and add it to the arguments that are passed along to other SubActions	此子动作可让你获取一个全局变量，并将其添加到传递给其他子动作的参数中
This SubAction will set the value of either an argument to the value, or a global variable from an argument, or to the value specified	此子动作会将参数的值设置为指定值，或将全局变量设置为参数的值，或设置为指定值
This feature is very experimental, and I need feedback on it, for options, capabilities, etc.	此功能非常实验性，我需要你对其选项、功能等提供反馈。
This labs feature will, on close, write to a database any outstanding pending actions, pending actions are actions that have not yet run, and are waiting to run, either because they're in a blocking queue, or a queue that is paused.	此实验室功能会在关闭时，将任何未完成的待处理动作写入数据库。待处理动作是指尚未运行、正在等待运行的动作，它们要么在阻塞队列中，要么在已暂停的队列中。
This requires the Enable MCP Deck to be checked in your Stream Deck preferences.	这需要在你的 Stream Deck 偏好设置中勾选“启用 MCP Deck”。
This sub-action requires the `Hybrid MP4 [BETA](.mp4)` recording format to be selected within OBS.	此子动作要求在 OBS 中选择“Hybrid MP4 [BETA](.mp4)”录制格式。
This will allow you to start a raid to the user login that is specified in the above text box. Variables are supported.	这将允许你向上方文本框指定的用户登录名发起突袭。支持变量。
This will hide all filters for a given source that are currently visible.	这将隐藏给定来源当前可见的所有筛选器。
This will hide all sources within a group that are currently visible.	这将隐藏分组中当前可见的所有来源。
This will hide all sources within a scene that are currently visible.	这将隐藏场景中当前可见的所有来源。
This will make the scene your active scene in OBS Studio	这将使该场景成为你在 OBS Studio 中的活动场景
This will make the scene your active scene in Streamlabs Desktop	这将使该场景成为你在 Streamlabs Desktop 中的活动场景
This will only show Execute C# Code subactions that have a name.	这将只显示有名称的“执行 C# 代码”子动作。
This will pick a random filter within the selected source and make it visible or hidden, or toggle its state.	这将在所选来源中随机挑选一个筛选器，使其可见或隐藏，或切换其状态。
This will pick a random source within the selected group and make it visible, if all items are visible, it will do nothing.	这将在所选分组中随机挑选一个来源并使其可见；如果所有项目都已可见，则不做任何操作。
This will pick a random source within the selected scene and make it visible, if all items are visible, it will do nothing.	这将在所选场景中随机挑选一个来源并使其可见；如果所有项目都已可见，则不做任何操作。
This will prevent the Variable Viewer window from appearing in any form of window/screen capturing	这将防止变量查看器窗口出现在任何形式的窗口/屏幕捕获中
This will rotate your source around its alignment position.  By default OBS sets this to TopLeft, ideally you want this set to Center, this can be changed by editing your source's transform in OBS	这将围绕来源的对齐位置旋转。默认情况下 OBS 将其设为 TopLeft，理想情况下你希望设为 Center，可在 OBS 中编辑来源的变换来更改
This will rotate your source around its alignment position.  By default this is TopLeft, ideally you want this set to Center, this can be changed by editing your source's transform in Streamlabs Desktop	这将围绕来源的对齐位置旋转。默认情况下这是 TopLeft，理想情况下你希望设为 Center，可在 Streamlabs Desktop 中编辑来源的变换来更改
Throwing System	投掷系统
Time in Seconds (double, required)	时间（秒，双精度，必填）
Timed Actions ({0})	定时动作（{0}）
Timed actions can have either an interval set, where they will occur every X seconds, or a line count set, where they will occur every Y lines.	定时动作可以设置间隔（每 X 秒发生一次），也可以设置行数（每 Y 行发生一次）。
Timeout Exempt	超时豁免
Tint All	全部着色
Title (required)	标题（必填）
Title, Prompt and Original Text all support variables.	标题、提示和原始文本都支持变量。
To not set a value for any of the options,, just leave the field empty	要不为任何选项设置值，只需将字段留空
Toast Id	Toast ID
Track Top	跟踪顶部
Trigger	触发器
Trigger Name	触发器名称
Twitch Bot Whisper	Twitch 机器人私信
Twitch Custom Power-Ups are a beta feature that not everyone has access to.	Twitch 自定义增益是一项测试版功能，并非所有人都能使用。
Twitch Message	Twitch 消息
Twitch Resubscription Message	Twitch 续订消息
Twitch Shared Chat	Twitch 共享聊天
Twitch Whisper	Twitch 私信
Twitch is not Connected	Twitch 未连接
Type	类型
UCD	UCD
UDP Port	UDP 端口
UDP Server	UDP 服务器
Until stream ends	直到直播结束
Up to Date	已是最新
Update All Actions To Use Default	更新所有动作以使用默认设置
Update Available	有可用更新
Update Available!	有可用更新！
Update Interval	更新间隔
Updating your YouTube stream information is an expensive call, please use this sparingly.	更新你的 YouTube 直播信息是一个开销很大的调用，请谨慎使用。
Use Args	使用参数
Use Filename	使用文件名
Use Monaco Editor	使用 Monaco 编辑器
Use System Default	使用系统默认
Use the System Default audio device when the selected device above is not found	当上方所选设备未找到时，使用系统默认音频设备
Use the feature rich Monaco Editor for editing your C# code	使用功能丰富的 Monaco 编辑器编辑你的 C# 代码
Use the variable that contains the Id, for example %msgId%	使用包含 ID 的变量，例如 %msgId%
User Cooldown	用户冷却
User ID	用户 ID
User Id	用户 ID
User Information	用户信息
User Input Required	需要用户输入
User Interface	用户界面
User Login	用户登录
User Name	用户名
User Present (spoke)	用户在场（说过话）
Using this you can send a UDP broadcast packet which will contain the data you enter in payload.	使用此功能可发送 UDP 广播数据包，其中将包含你在负载中输入的数据。
VTube Studio is Not Connected!	VTube Studio 未连接！
Value	值
Variable Masking	变量屏蔽
Variable Name	变量名
Variable Name or Value can be a fixed value, or a parsed value, using variables and/or inline functions	变量名或值可以是固定值，也可以是使用变量和/或内联函数解析的值
Variable Name to Use (if empty, fileExists is used)	要使用的变量名（留空时使用 fileExists）
Variable Name to Use (if empty, folderExists is used)	要使用的变量名（留空时使用 folderExists）
Variable Name to Use (if empty, line is used)	要使用的变量名（留空时使用 line）
Variable Prefix	变量前缀
Variable Value	变量值
Variables that contain these words will have their values masked with * in the following areas:	包含这些词的变量，其值将在以下区域中以 * 屏蔽：
Vendor Name	供应商名称
Video Enabled (boolean)	视频已启用（布尔值）
Video Name	视频名称
Video Name can be a fixed value or a parsed value using variables and/or inline functions.	视频名称可以是固定值，也可以是使用变量和/或内联函数解析的值。
View Count	观看次数
View Notes	查看说明
View a list of what Voice Control has been hearing	查看语音控制已听到的内容列表
View and modify your streaming platform settings	查看并修改你的流媒体平台设置
Viewers	观众
Viewers Tab	观众选项卡
Voice Alias	语音别名
Voice Control	语音控制
Voice Control related settings	语音控制相关设置
Voice ID	语音 ID
Voice Name	语音名称
Voice Name can be a fixed value or a parsed value using variables and/or inline functions.	语音名称可以是固定值，也可以是使用变量和/或内联函数解析的值。
VoiceId can be a fixed value or a parsed value using variables and/or inline functions.	VoiceId 可以是固定值，也可以是使用变量和/或内联函数解析的值。
VoiceMod is Not Connected!	VoiceMod 未连接！
Volume (number)	音量（数字）
Wait maximum	最长等待
