# english	ko-KR
%changeType% - The type of change (Changed, Created, Deleted)	%changeType% - 변경 유형(변경, 생성, 삭제)
%counter% - Global usage counter for reward	%counter% - 보상의 전역 사용 카운터
%empty% - If the file is now empty	%empty% - 파일이 비어 있는지 여부
%fileName% - The file name with extension	%fileName% - 확장자를 포함한 파일 이름
%fullPath% - The full path to the file	%fullPath% - 파일의 전체 경로
%line#% - The specifc line of the file, 0 based index, 0 is the first line	%line#% - 파일의 특정 줄(0 기반 인덱스, 0이 첫 줄)
%lineEscaped#% - The line escaped for use in a url query	%lineEscaped#% - URL 쿼리에 사용하기 위해 이스케이프된 줄
%lines% - The number of lines in the file	%lines% - 파일의 줄 수
%randomUser0% - Random active user's display name	%randomUser0% - 무작위 활성 사용자의 표시 이름
%randomUser1% - Random active user's display name	%randomUser1% - 무작위 활성 사용자의 표시 이름
%randomUserName0% - Random active user's login name	%randomUserName0% - 무작위 활성 사용자의 로그인 이름
%randomUserName1% - Random active user's login name	%randomUserName1% - 무작위 활성 사용자의 로그인 이름
%rawInput% - UNSANITIZED input from redemption	%rawInput% - 리뎀션에서 나온 비정화 입력
%timedoutUser0% - Timed out user's display name	%timedoutUser0% - 타임아웃된 사용자의 표시 이름
%timedoutUserName0% - Timed out user's login name	%timedoutUserName0% - 타임아웃된 사용자의 로그인 이름
%user% - Display name of User who used reward	%user% - 보상을 사용한 사용자의 표시 이름
%userCounter% - Usage counter for user who used reward	%userCounter% - 보상을 사용한 사용자의 사용 카운터
%userName% - Login of user who used reward	%userName% - 보상을 사용한 사용자의 로그인
Export Version	내보내기 버전
Export to Clipboard	클립보드로 내보내기
Export to File	파일로 내보내기
Expression	식
Fade Time	페이드 시간
Fallback to Broadcaster	브로드캐스터로 폴백
File Path	파일 경로
File Tail	파일 테일
File Tails	파일 테일
File to Check if Exists	존재 여부를 확인할 파일
File to Read From	읽을 파일
File to Write To	쓸 파일
File/Folder Watcher	파일/폴더 감시자
Filter	필터
Filter Type	필터 유형
Filter...	필터...
Find Refs	참조 찾기
Finish playing before continuing	계속하기 전에 재생을 마칩니다
First Words	첫 단어
Folder containing *.mp3 and *.wav	*.mp3 및 *.wav가 포함된 폴더
Folder mappings for serving local files	로컬 파일 제공을 위한 폴더 매핑
Folder to Check if Exists	존재 여부를 확인할 폴더
Font Family	글꼴 패밀리
Font Size	글꼴 크기
For readability, consider using camelCasing or PascalCasing.	가독성을 위해 camelCasing 또는 PascalCasing을 사용하는 것이 좋습니다.
Forget	잊기
Forget Account	계정 잊기
Forget any saved credentials for Pulsoid	Pulsoid에 저장된 자격 증명 잊기
Forget any saved credentials for TipeeeStream	TipeeeStream에 저장된 자격 증명 잊기
Forget any saved credentials for VTubeStudio	VTubeStudio에 저장된 자격 증명 잊기
Forget this account?	이 계정을 잊으시겠습니까?
Format Document	문서 서식 지정
Found {0} videos	{0}개의 동영상을 찾았습니다
GCD	GCD
Gain early access to new features and updates before they are released to the public.	일반 공개 전에 새 기능과 업데이트에 대한 조기 액세스를 얻으세요.
Game Only	게임 전용
General Settings	일반 설정
Generate a new Instance Id for this instance of Streamer.bot	이 Streamer.bot 인스턴스에 대한 새 인스턴스 ID 생성
Gift Bombs	선물 폭탄
Gift Sub Count Range	기프트 구독 수 범위
Global Cooldown	전역 쿨다운
Global Variables	전역 변수
Grant Type	부여 유형
Group	그룹
Group Layout	그룹 레이아웃
Group Name	그룹 이름
Groups	그룹
HTTP Server	HTTP 서버
Handle all things variables	변수와 관련된 모든 것을 처리
Has Permission	권한 있음
Help with Elgato CameraHub	Elgato CameraHub 도움말
Help with Elgato WaveLink	Elgato WaveLink 도움말
Help with HTTP Server	HTTP 서버 도움말
Help with Twitch	Twitch 도움말
Help with Voice Control	음성 제어 도움말
Help with WebSocket Server	WebSocket 서버 도움말
Hide Not Present	부재 중 숨기기
Hide Splash Screen	스플래시 화면 숨기기
Higher tiers gives you more storage space to hold more backups.	상위 티어는 더 많은 백업을 저장할 수 있는 더 큰 저장 공간을 제공합니다.
Home	홈
How long it took for the action to run, this is in milliseconds	액션 실행에 걸린 시간(밀리초)
How long viewers have to guess the outcome	시청자가 결과를 추측할 수 있는 시간
How long viewers have to vote in the poll	시청자가 투표할 수 있는 시간
I Agree	동의합니다
I also can not forget giving a nod to the following people	다음 분들에게도 감사의 인사를 드리지 않을 수 없습니다
I can not foget to thank the following who are on Streamer.bot's staff, providing support in the discord	Discord에서 지원을 제공하는 Streamer.bot 직원인 다음 분들에게 감사드리지 않을 수 없습니다
Icon Path	아이콘 경로
Ideas & Suggestions	아이디어 및 제안
If "Destination Variable" is left empty, the value will be stored to global_variableName, or user_username_variablename	"Destination Variable"을 비워 두면 값이 global_variableName 또는 user_username_variablename에 저장됩니다
If AsJson is checked, the file will try to be loaded as a json object only a simple object will be loaded (for now), if it can not be parsed, the below will be available	AsJson이 체크되면 파일이 JSON 개체로 로드되려고 합니다(현재는 단순 개체만). 구문 분석할 수 없으면 아래 항목을 사용할 수 있습니다
If both options are set, then both criteria must be met for the action to occur. The action will only run if Y number have lines have been said, and if X seconds have passed.	두 옵션을 모두 설정하면 액션이 발생하려면 두 기준을 모두 충족해야 합니다. Y줄이 발화되고 X초가 경과한 경우에만 액션이 실행됩니다.
If cancelling a redemption, this will refund the channel points back to the user that redeemed it.	리뎀션을 취소하면 채널 포인트가 리뎀션한 사용자에게 환불됩니다.
If there are no matches then it will fall back to the Default Case.	일치하는 항목이 없으면 Default Case로 폴백합니다.
If this is checked, only users in the listed groups will be used, otherwise they will be excluded	이것을 체크하면 나열된 그룹의 사용자만 사용되고, 그 외에는 제외됩니다
If timeout is left blank, it defaults to 30 seconds (or 30,000ms)	타임아웃을 비워 두면 기본값은 30초(또는 30,000ms)입니다
If you are already subscribed, thank you for your support. Make sure you are currently logged into your Streamer.bot account in the bottom-left corner of Streamer.bot. If you are logged in, then make sure you have also linked your	이미 구독 중이시라면 지원에 감사드립니다. Streamer.bot의 왼쪽 아래 모서리에서 Streamer.bot 계정에 로그인되어 있는지 확인하세요. 로그인되어 있다면 다음도 연결했는지 확인하세요:
If you enjoy Streamer.bot, please consider supporting nate1280 on Patreon.	Streamer.bot이 마음에 드신다면 Patreon에서 nate1280을 지원하는 것을 고려해 주세요.
Ignore Aliases	별칭 무시
Ignore Bot Messages	봇 메시지 무시
Ignore Case	대소문자 무시
Ignore Channel	채널 무시
Ignore Data	데이터 무시
Ignore Extensions	확장 기능 무시
Ignore Internal Messages	내부 메시지 무시
Ignore NoteOff	NoteOff 무시
Import	가져오기
Import String	가져오기 문자열
Import contains custom C# code. Ensure you trust the author and source of this import!	가져오기에는 사용자 지정 C# 코드가 포함되어 있습니다. 이 가져오기의 작성자와 소스를 신뢰할 수 있는지 확인하세요!
Important Information	중요 정보
Include Action's Arguments	액션의 인수 포함
Include All	모두 포함
Include Subdirectories	하위 디렉터리 포함
Include auth.db	auth.db 포함
Input now supports variable parsing, be sure to surround it with % if you want the value of the variable. i.e. %user%, %userCounter%, %rawInput%, etc...	입력은 이제 변수 구문 분석을 지원합니다. 변수 값을 원하면 %로 감싸세요. 예: %user%, %userCounter%, %rawInput% 등...
Instance Id	인스턴스 ID
Instance Name:	인스턴스 이름:
Integrate further with Speaker.bot.	Speaker.bot과 더욱 통합하세요.
Integrations	통합
Is UserId	사용자 ID 여부
Jewels Gifted	선물된 보석
Join the Streamer.bot community!	Streamer.bot 커뮤니티에 가입하세요!
Keep the updates coming!	업데이트를 계속 보내주세요!
Keep track of active viewers in chat	채팅에서 활성 시청자 추적
Keep track of users that create pyramids in your chat	채팅에서 피라미드를 만드는 사용자 추적
Key Combination	키 조합
Kick Message	Kick 메시지
Kick is not Connected	Kick이 연결되지 않았습니다
Kick's own API implementation is still very fluid, and lacking, so not every feature maybe implemented	Kick의 자체 API 구현은 아직 유동적이고 부족하여 모든 기능이 구현되지 않을 수 있습니다
Kicks Gifted	선물된 Kick
Ko-fi	Ko-fi
Labs	랩
Last Active	마지막 활동
Last Triggered	마지막 트리거
Last Write	마지막 쓰기
Last backup: Never	마지막 백업: 없음
Last backup: {0:F}	마지막 백업: {0:F}
Learn from Device	장치에서 학습
Leave color empty to use Application default color for comments	댓글에 앱 기본 색상을 사용하려면 색상을 비워 두세요
Leaving Event Name empty is considered a catch-all and will trigger on any custom event name.	Event Name을 비워 두면 catch-all로 간주되어 모든 사용자 지정 이벤트 이름에서 트리거됩니다.
Leaving Event Name empty is considered a catch-all and will trigger on any remote event name.	Event Name을 비워 두면 catch-all로 간주되어 모든 원격 이벤트 이름에서 트리거됩니다.
Leaving Toast Id empty is considered a catch-all and will trigger on any Toast Id.	Toast Id를 비워 두면 catch-all로 간주되어 모든 Toast Id에서 트리거됩니다.
Leaving name empty is considered a catch-all and will trigger on any global variable being created	이름을 비워 두면 catch-all로 간주되어 모든 전역 변수 생성에서 트리거됩니다
Leaving name empty is considered a catch-all and will trigger on any global variable being deleted	이름을 비워 두면 catch-all로 간주되어 모든 전역 변수 삭제에서 트리거됩니다
Leaving name empty is considered a catch-all and will trigger on any global variable updating	이름을 비워 두면 catch-all로 간주되어 모든 전역 변수 업데이트에서 트리거됩니다
Leaving name empty is considered a catch-all and will trigger on any process starting.	이름을 비워 두면 catch-all로 간주되어 모든 프로세스 시작에서 트리거됩니다.
Leaving name empty is considered a catch-all and will trigger on any process stopping.	이름을 비워 두면 catch-all로 간주되어 모든 프로세스 중지에서 트리거됩니다.
Leaving name or login empty is considered a catch-all and will trigger on any user global variable updating	이름 또는 로그인을 비워 두면 catch-all로 간주되어 모든 사용자 전역 변수 업데이트에서 트리거됩니다
Leaving soundboard name empty is considered a catch-all and will trigger on any soundboard changed event.	사운드보드 이름을 비워 두면 catch-all로 간주되어 모든 사운드보드 변경 이벤트에서 트리거됩니다.
Leaving user name empty is considered a catch-all and will trigger on any first words event.	사용자 이름을 비워 두면 catch-all로 간주되어 모든 첫 단어 이벤트에서 트리거됩니다.
Leaving voice name empty is considered a catch-all and will trigger on any voice loaded event.	음성 이름을 비워 두면 catch-all로 간주되어 모든 음성 로드 이벤트에서 트리거됩니다.
Lens Name	렌즈 이름
Lens Name and/or Duration can be a fixed value or a parsed value using variables and/or inline functions.	Lens Name 및/또는 Duration은 고정 값이거나 변수 및/또는 인라인 함수를 사용한 구문 분석 값일 수 있습니다.
Light Mode	라이트 모드
Line Number	줄 번호
Line Spacing	줄 간격
Listening Status	듣기 상태
Live (boolean)	라이브(부울)
Live Update	라이브 업데이트
Loading Editor Components...	편집기 구성 요소를 불러오는 중...
Loading...	불러오는 중...
Location	위치
Log Folder	로그 폴더
Log In (Default)	로그인(기본값)
Log Level	로그 수준
Log Speech to Text Dictation	음성 인식 받아쓰기 기록
Login	로그인
Login to your Kick account, and adjust settings.	Kick 계정에 로그인하고 설정을 조정하세요.
Login to your Streamer.bot Account to see beta/alpha channels.	베타/알파 채널을 보려면 Streamer.bot 계정에 로그인하세요.
Login to your Streamer.bot account in the bottom-left corner	왼쪽 아래 모서리에서 Streamer.bot 계정에 로그인하세요
Login to your Twitch account, manage Chanel Rewards, Poll and Predictions, and settings.	Twitch 계정에 로그인하여 채널 보상, 투표, 예측 및 설정을 관리하세요.
Login to your YouTube account, see your broadcasts, and alter settings.	YouTube 계정에 로그인하여 방송을 보고 설정을 변경하세요.
Logout	로그아웃
LumiaStream is Not Connected!	LumiaStream이 연결되지 않았습니다!
MIDI	MIDI
MIDI Device is NOT connected	MIDI 장치가 연결되어 있지 않습니다
MIDI Device is already in use	MIDI 장치가 이미 사용 중입니다
MIDI Device is connected	MIDI 장치가 연결되어 있습니다
MIDI Device is not found	MIDI 장치를 찾을 수 없습니다
MIDI In	MIDI 입력
MIDI Out	MIDI 출력
Making Changes to this list will not invalidate any currently compiled Execute C# Code sub-actions	이 목록을 변경해도 현재 컴파일된 Execute C# Code 하위 액션이 무효화되지는 않습니다
Manage Polls on your Twitch broadcaster account	Twitch 브로드캐스터 계정에서 투표 관리
Manage Predictions on your Twitch broadcaster account	Twitch 브로드캐스터 계정에서 예측 관리
Manage different aspects of Streamer.bot's UI	Streamer.bot UI의 다양한 측면 관리
Manage network services	네트워크 서비스 관리
Manage your Kick channel point rewards	Kick 채널 포인트 보상 관리
Manage your Twitch channel point rewards	Twitch 채널 포인트 보상 관리
Manage your Twitch custom power-ups (beta)	Twitch 사용자 지정 파워업(베타) 관리
Manage your chat commands	채팅 명령 관리
Manually refresh audio input devices	오디오 입력 장치 수동 새로 고침
Manually refresh audio output devices	오디오 출력 장치 수동 새로 고침
Manually reset the cache	캐시 수동 초기화
Mask Variable Containing	다음을 포함하는 변수 마스킹:
May you rest in peace; you will be missed. 1954-2021	편히 잠드소서. 당신을 그리워할 것입니다. 1954-2021
Meld Studio Information	Meld Studio 정보
Menu	메뉴
Message Id	메시지 ID
Milestone Range (this is for the number of subs gifted over all time)	마일스톤 범위(전체 기간 동안 선물된 구독 수용)
Minimize to Tray	트레이로 최소화
Minimize to Tray on Close	닫을 때 트레이로 최소화
Minimum Width	최소 너비
Mix With Scene Lighting Color	장면 조명 색상과 혼합
Moderator Send Live Enabled (boolean)	모드 전송 라이브 활성화(부울)
Modify settings related to Voice Control	음성 제어 관련 설정 수정
Modify your MIDI settings here.	여기서 MIDI 설정을 수정하세요.
Monaco Settings	Monaco 설정
Months Gifted	선물된 개월 수
Move All To	모두 이동:
NOT Recording!	녹화 중이 아닙니다!
NOT Streaming!	방송 중이 아닙니다!
Name	이름
Name can be a fixed value or a parsed value using variables and/or inline functions.	이름은 고정 값이거나 변수 및/또는 인라인 함수를 사용한 구문 분석 값일 수 있습니다.
Name the prediction	예측 이름 지정
Navigation Panel	탐색 패널
New Poll	새 투표
New Prediction	새 예측
No AR Lenses Found!	AR 렌즈를 찾을 수 없습니다!
No Actions Found!	액션을 찾을 수 없습니다!
No Audio Devices Found	오디오 장치를 찾을 수 없습니다
No Command Groups Found!	명령 그룹을 찾을 수 없습니다!
No Commands Found!	명령을 찾을 수 없습니다!
No Crosshair Images Found!	조준점 이미지를 찾을 수 없습니다!
No Devices Available to Learn From!	학습할 수 있는 장치가 없습니다!
No Editable Rewards Found!	편집 가능한 보상을 찾을 수 없습니다!
No Execute C# Code Sub-Actions were found!	Execute C# Code 하위 액션을 찾을 수 없습니다!
No Execute C# Sub-Aactions Found!	Execute C# 하위 액션을 찾을 수 없습니다!
No Expressions Found!	식을 찾을 수 없습니다!
No File Tails Found	파일 테일을 찾을 수 없습니다
No Fonts Found!	글꼴을 찾을 수 없습니다!
No Groups Found!	그룹을 찾을 수 없습니다!
No Hotkeys Found!	핫키를 찾을 수 없습니다!
No Inputs Found!	입력을 찾을 수 없습니다!
No Items!	항목이 없습니다!
No Kick Reward Groups Found!	Kick 보상 그룹을 찾을 수 없습니다!
No Kick Rewards Found!	Kick 보상을 찾을 수 없습니다!
No Outfits Found!	의상을 찾을 수 없습니다!
No Output Devices Available!	사용 가능한 출력 장치가 없습니다!
No Profiles Found!	프로필을 찾을 수 없습니다!
No Rewards Found	보상을 찾을 수 없습니다
No Scripts Found!	스크립트를 찾을 수 없습니다!
No Timers Found!	타이머를 찾을 수 없습니다!
No Twitch Reward Groups Found!	Twitch 보상 그룹을 찾을 수 없습니다!
No Twitch Rewards Found!	Twitch 보상을 찾을 수 없습니다!
No Video Backgrounds Found!	동영상 배경을 찾을 수 없습니다!
No Voice Control Commands Found!	음성 제어 명령을 찾을 수 없습니다!
No command groups found!	명령 그룹을 찾을 수 없습니다!
No commands found!	명령을 찾을 수 없습니다!
Non-Persisted Globals	비영구 전역 변수
Non-Persisted User Globals	비영구 사용자 전역 변수
Not Authenticated	인증되지 않음
Not Configured	구성되지 않음
Not Connected	연결되지 않음
Not Connected!	연결되지 않았습니다!
Not Ignored	무시되지 않음
Not all API endpoints/EventSub events have been implemented by Twitch yet. Some features may currently be missing, once they are added on Twitch's side, they will be updated for Streamer.bot's usage.	모든 API 엔드포인트/EventSub 이벤트가 아직 Twitch에 구현되어 있지 않습니다. 일부 기능이 현재 누락될 수 있으며, Twitch 쪽에서 추가되면 Streamer.bot 사용에 맞게 업데이트됩니다.
OBS Color	OBS 색상
OBS Information	OBS 정보
OBS Studio use ABGR format for its colors	OBS Studio는 색상에 ABGR 형식을 사용합니다
Only Those Listed	나열된 것만
Only methods that return bool, and have no parameter are usable.	bool을 반환하고 매개 변수가 없는 메서드만 사용할 수 있습니다.
Open Log Folder...	로그 폴더 열기...
Open Trigger Viewer	트리거 뷰어 열기
Optional values that are left blank, will not be changed.	비워 둔 선택 값은 변경되지 않습니다.
Options	옵션
Options (Minimum of 2, maximum of 4)	옵션(최소 2, 최대 4)
Other Instances	기타 인스턴스
Outcome Title	결과 제목
Outcomes (Minimum of 2, maximum of 10)	결과(최소 2, 최대 10)
Outfit Name	의상 이름
Outfit Name can be a fixed value or a parsed value using variables and/or inline functions.	의상 이름은 고정 값이거나 변수 및/또는 인라인 함수를 사용한 구문 분석 값일 수 있습니다.
Output File	출력 파일
Output Text	출력 텍스트
Output Variable	출력 변수
Output Variable will be the name of the variable that your result goes into, default is inputResult	출력 변수는 결과가 저장되는 변수의 이름이며, 기본값은 inputResult입니다
Overlay URL	오버레이 URL
Override Global	전역 재정의
Overwrite Existing Variable(s)	기존 변수 덮어쓰기
Overwrite Variables	변수 덮어쓰기
Parse Results as JSON	결과를 JSON으로 구문 분석
Parse Variables	변수 구문 분석
Partially Connected	부분적으로 연결됨
Pass through Bad Word Filter	나쁜 단어 필터 통과
Patreon	Patreon
Patreon Supporters	Patreon 서포터
Pause All Queues	모든 큐 일시 중지
Payload Data	페이로드 데이터
Pending Action Cache	대기 중인 액션 캐시
Pending Actions	대기 중인 액션
Pending Count	대기 수
Persist Counter	카운터 유지
Persist User Counter	사용자 카운터 유지
Persisted Globals	영구 전역 변수
Persisted User Globals	영구 사용자 전역 변수
Pick a Random Color	무작위 색상 선택
Pick a color	색상 선택
Pick either Light Mode or Dark Mode for Streamer.bot	Streamer.bot의 라이트 모드 또는 다크 모드 선택
Pick your favorite streamming application, get it connected, and start creating!	좋아하는 스트리밍 앱을 선택하고 연결한 다음 창작을 시작하세요!
Pick your platform of choice to interact with your viewers.	시청자와 소통할 플랫폼을 선택하세요.
Platform	플랫폼
Platforms	플랫폼
Position X (double, optional)	위치 X(double, 선택)
Position Y (double, optional)	위치 Y(double, 선택)
Power-up	파워업
Precompile on Application Start	앱 시작 시 사전 컴파일
Prediction Window (seconds) default is 60s	예측 창(초) 기본값 60초
Present Only	현재만
Present Viewers	현재 시청자
Priority	우선순위
Privacy Policy	개인정보 처리방침
Process Watcher	프로세스 감시기
Provide various URL endpoints for interacting with Streamer.bot	Streamer.bot과 상호 작용하기 위한 다양한 URL 엔드포인트 제공
Pyramids Made	만들어진 피라미드
Quality:	품질:
Queue Signal	큐 신호
Queued At	큐 추가 시각
Queues ({0})	큐({0})
Queues keep the Actions flowing, or stopped when needed	큐는 액션이 계속 흐르도록 하거나 필요할 때 중지합니다
Quote ID	인용 ID
Quote ID can be a variable which must parse to a number, or a number.	인용 ID는 숫자로 구문 분석되어야 하는 변수이거나 숫자일 수 있습니다.
Raids	레이드
Raised/Goal	모금액/목표
Random Color	무작위 색상
Raw Message	원시 메시지
Re-Open on Close	닫을 때 다시 열기
Re-index	재인덱싱
React to events that happen in CrowdControl.	CrowdControl에서 발생하는 이벤트에 반응하세요.
React to events, and trigger changes.	이벤트에 반응하고 변경을 트리거하세요.
React to viewers purchasing and using cards	시청자가 카드를 구매하고 사용하는 것에 반응
React to your heart rate!	심박수에 반응하세요!
Real-time AR effects that work inside OBS, Streamlabs, and Zoom.	OBS, Streamlabs, Zoom에서 작동하는 실시간 AR 효과.
Receive access to additional supporter benefits, including Custom Webhooks and Cloud Backups!	사용자 지정 Webhook 및 클라우드 백업을 포함한 추가 서포터 혜택에 대한 액세스를 받으세요!
Receive donation events.	기부 이벤트를 받으세요.
Receive events when applications on your computer start and/or stop!	컴퓨터의 앱이 시작/중지될 때 이벤트를 받으세요!
Receive events when donations are received to your campaign!	캠페인에 기부가 도착하면 이벤트를 받으세요!
Receive events when someone sends you a treat!	누군가 당신에게 트리트를 보내면 이벤트를 받으세요!
Receive events when tips are received.	팁을 받으면 이벤트를 받으세요.
Reconnect on Disconnect	연결 끊김 시 재연결
Recording!	녹화 중!
Redemption Skips Queue	리뎀션이 큐를 건너뜁니다
Refresh Polls from Twitch	Twitch에서 투표 새로 고침
Refresh Predictions from Twitch	Twitch에서 예측 새로 고침
Refresh from Kick	Kick에서 새로 고침
Refresh from Twitch	Twitch에서 새로 고침
Regenerate Browser Sources (boolean)	브라우저 소스 다시 생성(부울)
Related Support	관련 지원
Relative to Model (boolean, required)	모델 상대(부울, 필수)
Remote Key	원격 키
Remove All	모두 제거
Remove all actions from export	내보내기에서 모든 액션 제거
Remove all commands from export	내보내기에서 모든 명령 제거
Remove all websocket clients from export	내보내기에서 모든 WebSocket 클라이언트 제거
Remove all websocket servers from export	내보내기에서 모든 WebSocket 서버 제거
Reply Id	답글 ID
Requests received by the HTTP server	HTTP 서버가 받은 요청
Reset Delete Confirmations	삭제 확인 재설정
Reset Integrations	통합 재설정
Reset Navigation Items	탐색 항목 재설정
Reset Sub Counter	구독 카운터 재설정
Reset sub-counter and rollover counters, this can not be undone	구독 카운터 및 롤오버 카운터 재설정, 실행 취소할 수 없습니다
Reset the Instance Id for this instance of Streamer.bot	이 Streamer.bot 인스턴스의 인스턴스 ID 재설정
Reset the information back to what the broadcast has	정보를 방송 내용으로 재설정
Response (Minimum of 2, maximum of 5)	응답(최소 2, 최대 5)
Resume All Queues	모든 큐 재개
Retrying to connect	연결 재시도 중
Revert to Original Color	원래 색상으로 되돌리기
Revert to original values	원래 값으로 되돌리기
Reward Name	보상 이름
Right click to add an argument	마우스 오른쪽 버튼을 클릭하여 인수 추가
Right-click to add an Action	마우스 오른쪽 버튼을 클릭하여 액션 추가
Role	역할
Rollover Value	롤오버 값
Rotation (double, optional)	회전(double, 선택)
Run Action Immediately	액션 즉시 실행
Run on UI Thread	UI 스레드에서 실행
Save	저장
Save All to CSV	모두 CSV로 저장
Save Key	키 저장
Save Result to Variable	결과를 변수에 저장
Save and Compile	저장 및 컴파일
Save the information for the broadcast	방송 정보 저장
Scene Name	장면 이름
Search Kick Categories	Kick 카테고리 검색
Search above or right-click to add a Sub-Action	위에서 검색하거나 마우스 오른쪽 버튼을 클릭하여 하위 액션 추가
Search above or right-click to add a Trigger	위에서 검색하거나 마우스 오른쪽 버튼을 클릭하여 트리거 추가
Search for User	사용자 검색
Search to add trigger...	트리거를 추가하려면 검색...
See Streamer.bot work, view and inspect variables of actions that are currently being run	Streamer.bot의 작동을 확인하고 현재 실행 중인 액션의 변수를 보고 검사하세요
See actions that have finished, and learn more about if they succeeded, what variables were available, etc	완료된 액션을 확인하고 성공 여부, 사용 가능한 변수 등을 자세히 알아보세요
See the quotes that have been added, as well as add custom ones, or edit/delete existing.	추가된 인용을 보고 사용자 지정 인용을 추가하거나 기존 항목을 편집/삭제하세요.
Select Action	액션 선택
Select a Meld Studio Connection	Meld Studio 연결 선택
Select a Streamlabs Desktop Connection	Streamlabs Desktop 연결 선택
Select a viewer from the list to view their information.	목록에서 시청자를 선택하여 정보를 확인하세요.
Select an OBS Connection	OBS 연결 선택
Select mtion Trigger	모션 트리거 선택
Selected Camera is not EpocCam!	선택한 카메라가 EpocCam이 아닙니다!
Selected Poll	선택한 투표
Selected Prediction	선택한 예측
Send NoteOff	NoteOff 보내기
Send using bot account	봇 계정으로 보내기
Server Status	서버 상태
Servers/Clients	서버/클라이언트
Service Status	서비스 상태
Services	서비스
Session ID	세션 ID
Set wait time to 0 seconds to run without waiting	대기 시간을 0초로 설정하면 기다리지 않고 실행
Settings	설정
Setup a tail on a file and react to changes in realtime.	파일에 테일을 설정하고 변경 사항에 실시간으로 반응하세요.
Setup recurring timers.	반복 타이머를 설정하세요.
Share and discuss ideas for new features or improvements to Streamer.bot	Streamer.bot의 새 기능 또는 개선 아이디어를 공유하고 논의하세요
Shared Chat Participation	공유 채팅 참여
Show LastWrite Column	마지막 쓰기 열 표시
Show or hide Commands page	명령 페이지 표시/숨기기
Show your Support	지원 표시
Signal Name	신호 이름
Signal name	신호 이름
Size (double, optional)	크기(double, 선택)
Skips Queue	큐 건너뛰기
Slot (number, required)	슬롯(숫자, 필수)
Slot Count (number)	슬롯 수(숫자)
Sound Name	사운드 이름
Sound Name can be empty, in which case it will use "default", a variable, or a string you enter	사운드 이름은 비워 둘 수 있습니다. 이 경우 "default", 변수 또는 입력한 문자열이 사용됩니다
Sound file to play	재생할 사운드 파일
Soundboard Name	사운드보드 이름
Source	소스
Source Slot	소스 슬롯
Speaker.bot Not Connected	Speaker.bot이 연결되지 않았습니다
Speaker.bot is Not Connected!	Speaker.bot이 연결되지 않았습니다!
Specific Category	특정 카테고리
Specific Game	특정 게임
Specify the 0 based index of the outcome to use as the winning outcome when resolving the current active prediction.  Variables are supported.	현재 활성 예측을 해결할 때 승리 결과로 사용할 결과의 0 기반 인덱스를 지정하세요. 변수를 지원합니다.
Specify the title of the outcome to use as the winning outcome when resolving the active prediction.  Variables are supported.	활성 예측을 해결할 때 승리 결과로 사용할 결과의 제목을 지정하세요. 변수를 지원합니다.
Start Listening	듣기 시작
Start Server	서버 시작
Start a Prediction	예측 시작
Start a UDP server and react to incoming UDP packets	UDP 서버를 시작하고 수신 UDP 패킷에 반응
Start, stop or alter built in Services.	내장 서비스를 시작, 중지 또는 변경하세요.
Started At	시작 시각
Starting...	시작 중...
Status	상태
Stop After	다음 이후 중지:
Stop All Clients	모든 클라이언트 중지
Stop Listening	듣기 중지
Stop Server	서버 중지
Stream Apps	스트리밍 앱
Stream Deck MCP Server	Stream Deck MCP 서버
Stream Status	스트리밍 상태
Stream Update on Connect	연결 시 Stream Update
Streamer.bot	Streamer.bot
Streamer.bot - Streamer.bot (v1.0.7)	Streamer.bot - 스트리밍 봇(v1.0.7)
Streamer.bot Account	Streamer.bot 계정
Streamer.bot Account Required.  Connect to the Streamer.bot website by clicking 'Login' in the bottom-left corner.	Streamer.bot 계정이 필요합니다. 왼쪽 아래 모서리의 '로그인'을 클릭하여 Streamer.bot 웹사이트에 연결하세요.
Streamer.bot Cloud Backups	Streamer.bot 클라우드 백업
Streamer.bot Settings	Streamer.bot 설정
Streamer.bot Version	Streamer.bot 버전
Streamer.bot Website	Streamer.bot 웹사이트
Streamer.bot account	Streamer.bot 계정
Streamer.bot instances that have been seen by your account	계정에서 확인된 Streamer.bot 인스턴스
Streamer.bot {0} is available!	Streamer.bot {0}을(를) 사용할 수 있습니다!
Streamer.bot's YouTube quota has been exceeded! The quota will reset at Midnight PST!	Streamer.bot의 YouTube 할당량을 초과했습니다! 할당량은 PST 자정에 재설정됩니다!
Streamfog is Not Connected!	Streamfog가 연결되지 않았습니다!
Streaming!	방송 중!
Streamlabs Desktop Information	Streamlabs Desktop 정보
Sub Counter	구독 카운터
Sub Type	구독 유형
Sub-Action Disabled Color	하위 액션 비활성 색상
Sub-Actions	하위 액션
Submission Preiod	제출 기간
Subscribed	구독됨
Suggestions	제안
Support	지원
Support Streamer.bot on Patreon!	Patreon에서 Streamer.bot을 지원하세요!
Support on Patreon	Patreon에서 지원
Supporter	
Supporter Perks	서포터 특전
Switch Case	스위치 케이스
Tags (Maximum of 10)	태그(최대 10개)
Tags are case insensitive.	태그는 대소문자를 구분하지 않습니다.
Take control of your avatar, receive events or control features.	아바타를 제어하고, 이벤트를 받거나 기능을 제어하세요.
Team Member	팀 멤버
Terms of Service	서비스 약관
Text to Speech	텍스트 음성 변환
Text to Write	쓸 텍스트
Thank You	감사합니다
